begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3232,,"Stellenangebot - Flughafenmitarbeiter - gesucht, m/w (Flugzeugabfertiger/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1154388792-S
  Titel des Stellenangebots

  Flughafenmitarbeiter - gesucht, m/w (Flugzeugabfertiger/in)
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  Ursula Mairinger Private Arbeitsvermittlung

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: weniger als 6
  Stellenbeschreibung

  Wir als zertifizierte Arbeits- und Personalvermittlung suchen für unseren Kunden, ein mittelständiges Unternehmen mit Schwerpunkt Berlin Tegel und/oder Schönefeld 25 Flughafenmitarbeiter, m/w

  Ihre Aufgaben beinhalten:

  Einlasskontrollen von Personen und Fahrzeugen,
  Empfangs- und Pförtnerdienste,
  Einhaltung von Sicherheits-, Qualitäts- und Leistungsstandards,
  Melde- und Berichtswesen,

  Sie bringen mit:

  keine Vorkenntnisse notwendig,
  Motivation, Zuverlässigkeit und Teambereitschaft,
  Gute Deutschkenntnisse,
  Überzeugende Kommunikationsfähigkeit
  Führungszeugnis ohne Eintrag
  Schichtbereitschaft
  Bereitschaft bei Bedarf in TXL oder SXF auszuhelfen

  Gehalt: 14,00 ? Stunde + Zulagen
  Arbeitszeit: Vollzeit und Schichtzuschläge

  Was tun wir für Sie?

  Wir unterstützen Sie aktiv bei der Arbeitsfindung, überprüfen und verbessern ggf. Ihre Bewerbungsunterlagen und nicht zuletzt sind wir mit unserem jahrelang gewachsenen Netzwerk an Arbeitgebern für Sie da!

  Wir freuen uns auf Ihre Bewerbung!
  Gerne per Mail an:
  bewerbung@pav-mairinger.de
  030 34 62 79 34
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Sofort
  Anzahl offener Stellen

  1 Stelle
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit, Schicht
  Vergütung und Zusatzleistungen

  14,00 ? Stunde + Zulagen
  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Unbefristetes Arbeitsverhältnis

  Kontaktdaten

  Rückfragen und Bewerbungen an

  Ursula Mairinger Private Arbeitsvermittlung
  Frau Ursula Mairinger
  Marktstr. 7
  10317 Berlin
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 34 62 79 34
  Mobilnummer: +49 (1 76) 62 89 37 69
  Faxnummer: +49 (30) 34 62 79 35
  E-Mail
  bewerbung@pav-mairinger.de
  Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch, persönlich, über Internet
  Internetadresse
  Weitere Informationen zum Stellenangebot im Internet
  Bewerbungszeitraum

  Seit 29.06.2017
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse, Vermittlungsgutschein (AVGS), wenn dieser Ihnen vorliegt - Kopie bitte mit einreichen
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,0,Stellenanzeige,false
2,326,,"Stellenangebot - Flughafenmitarbeiter - gesucht, m/w (Flugzeugabfertiger/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1154388792-S
  Titel des Stellenangebots

  Flughafenmitarbeiter - gesucht, m/w (Flugzeugabfertiger/in)
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)","Arbeitgeber
  Ursula Mairinge",1,Irrelevantes (nicht aus 1-5),false
330,683,(sozialversicherungspflichtig),"Arbeitgeber
  Ursula Mairinger Private Arbeitsvermittlung

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: weniger als 6
  Stellenbeschreibung

  Wir als zertifizierte Arbeits- und Personalvermittlung suchen für unseren Kunden, ein mittelständiges Unternehmen mit Schwerpunkt Berlin Tegel und/oder Schönefeld 25 Flughafenmitarbeiter, m/w","Ihre Aufgaben beinhalten:

 ",2,Unternehmensvorstellung,false
689,896,"d 25 Flughafenmitarbeiter, m/w","Ihre Aufgaben beinhalten:

  Einlasskontrollen von Personen und Fahrzeugen,
  Empfangs- und Pförtnerdienste,
  Einhaltung von Sicherheits-, Qualitäts- und Leistungsstandards,
  Melde- und Berichtswesen,","Sie bringen mit:

  keine Vo",3,Aufgabenbeschreibung,false
902,1184,",
  Melde- und Berichtswesen,","Sie bringen mit:

  keine Vorkenntnisse notwendig,
  Motivation, Zuverlässigkeit und Teambereitschaft,
  Gute Deutschkenntnisse,
  Überzeugende Kommunikationsfähigkeit
  Führungszeugnis ohne Eintrag
  Schichtbereitschaft
  Bereitschaft bei Bedarf in TXL oder SXF auszuhelfen","Gehalt: 14,00 ? Stunde + Zulag",4,Anforderungen,false
1190,1505,rf in TXL oder SXF auszuhelfen,"Gehalt: 14,00 ? Stunde + Zulagen
  Arbeitszeit: Vollzeit und Schichtzuschläge

  Was tun wir für Sie?

  Wir unterstützen Sie aktiv bei der Arbeitsfindung, überprüfen und verbessern ggf. Ihre Bewerbungsunterlagen und nicht zuletzt sind wir mit unserem jahrelang gewachsenen Netzwerk an Arbeitgebern für Sie da!",Wir freuen uns auf Ihre Bewerb,5,Angebot an den Bewerber,false
1511,1714,rk an Arbeitgebern für Sie da!,"Wir freuen uns auf Ihre Bewerbung!
  Gerne per Mail an:
  bewerbung@pav-mairinger.de
  030 34 62 79 34
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Deutschland",In der nachfolgenden Kartenans,6,Kontakt und Formalia,false
1718,1987,"sorte

  Berlin, Deutschland","In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden","Beginn der Tätigkeit

  Sofo",7,Irrelevantes (nicht aus 1-5),false
1991,2705,tellenangebot Karte ausblenden,"Beginn der Tätigkeit

  Sofort
  Anzahl offener Stellen

  1 Stelle
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit, Schicht
  Vergütung und Zusatzleistungen

  14,00 ? Stunde + Zulagen
  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Unbefristetes Arbeitsverhältnis

  Kontaktdaten

  Rückfragen und Bewerbungen an

  Ursula Mairinger Private Arbeitsvermittlung
  Frau Ursula Mairinger
  Marktstr. 7
  10317 Berlin
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 34 62 79 34
  Mobilnummer: +49 (1 76) 62 89 37 69
  Faxnummer: +49 (30) 34 62 79 35
  E-Mail
  bewerbung@pav-mairinger.de","Gewünschte Bewerbungsarten

",8,Kontakt und Formalia,false
2709,3232,"
  bewerbung@pav-mairinger.de","Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch, persönlich, über Internet
  Internetadresse
  Weitere Informationen zum Stellenangebot im Internet
  Bewerbungszeitraum

  Seit 29.06.2017
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse, Vermittlungsgutschein (AVGS), wenn dieser Ihnen vorliegt - Kopie bitte mit einreichen
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,9,Irrelevantes (nicht aus 1-5),false
