begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3496,,"Stellenangebot - Produktionshelfer (m/w) in der Maschinenbedienung (Helfer/in - Kunststoff, Kautschuk)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1155153272-S
  Titel des Stellenangebots

  Produktionshelfer (m/w) in der Maschinenbedienung (Helfer/in - Kunststoff, Kautschuk)
  Alternativberufe
  Helfer/in - Lagerwirtschaft, Transport
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  CONWAY Consulting

  Branche: Unternehmensberatung, Betriebsgröße: weniger als 6
  Stellenbeschreibung

  Sie suchen einen Arbeitsplatz oder wollen sich verändern, wir unterstützen Sie dabei.

  Im Auftrag unseres Kunden suchen wir

  Produktionshelfer (m/w)
  - Kennziffer 50218 -

  an mehreren Standorte in Berlin.

  Ihre Aufgaben:
  * Maschinenbedienung
  * Unterstützung des Fachpersonals
  * Qualitäts- und Sichtprüfung
  * Verpacken der hergestellten Produkte

  Ihr Profil:
  * Erste Berufserfahrungen von Vorteil
  * Körperliche Belastbarkeit
  * Zuverlässigkeit, Teamfähigkeit und eine sorgfältige Arbeitsweise

  Stellendetails:
  * Vollzeit
  * Unbefristeter Arbeitsvertrag
  * Arbeit im 2- oder 3-Schichtsystem
  * Arbeitsort Berlin

  Was Sie noch wissen sollten:

  Sollten Sie sich unsicher sein, ob diese Stelle auf Sie zutrifft, lassen Sie uns gerne ins Gespräch kommen. Jedes Unternehmen hat individuelle Vorstellungen von seinen zukünftigen Mitarbeiterinnen und Mitarbeitern - doch bekanntlich ist niemand perfekt. Wir sind seit langem auf dem Gebiet der Personalvermittlung tätig und stehen Ihnen gern mit Rat und Tat zur Seite - ohne Vermittlungsgutschein.

  Haben wir Ihr Interesse geweckt?

  Dann freuen wir uns darauf Sie kennenzulernen! Bitte senden Sie Ihre Bewerbungsunterlagen gerne per Mail unter Angabe Ihrer Telefonnummer an:

  bewerbung@conway-berlin.de
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Sofort
  Anzahl offener Stellen

  2 Stellen
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit, Schicht
  Vergütung und Zusatzleistungen

  Bei der Besetzung des Stellenangebotes findet ein Tarifvertrag Anwendung.
  Tarifvertrag: entsprechend des Tarifvertrags des jeweiligen Arbeitgebers
  Befristung

  Unbefristetes Arbeitsverhältnis

  Anforderungen an den Bewerber

  Persönliche Stärken
  Sorgfalt/Genauigkeit, Teamfähigkeit, Zuverlässigkeit

  Kontaktdaten

  Rückfragen und Bewerbungen an

  CONWAY Consulting
  Herr Axel Runge
  Giesebrechtstr. 11
  10629 Berlin
  Charlottenburg
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 2 09 13 78 22
  E-Mail
  bewerbung@conway-berlin.de
  Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch, persönlich
  Angaben zur Bewerbung

  Bitte beachten Sie, dass Ihre Bewerbung nur dann bearbeitet werden kann, wenn Ihre Bewerbungsunterlagen vollständig sind und eine Telefonnummer angegeben wurde.
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,0,Stellenanzeige,false
2,369,,"Stellenangebot - Produktionshelfer (m/w) in der Maschinenbedienung (Helfer/in - Kunststoff, Kautschuk)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1155153272-S
  Titel des Stellenangebots

  Produktionshelfer (m/w) in der Maschinenbedienung (Helfer/in - Kunststoff, Kautschuk)
  Alternativberufe
  Helfer/in - Lagerwirtschaft, Transport","Stellenangebotsart

  Arbeit",1,Irrelevantes (nicht aus 1-5),false
373,440,"n - Lagerwirtschaft, Transport","Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)","Arbeitgeber
  CONWAY Consulti",2,Kontakt und Formalia,false
444,788,(sozialversicherungspflichtig),"Arbeitgeber
  CONWAY Consulting

  Branche: Unternehmensberatung, Betriebsgröße: weniger als 6
  Stellenbeschreibung

  Sie suchen einen Arbeitsplatz oder wollen sich verändern, wir unterstützen Sie dabei.

  Im Auftrag unseres Kunden suchen wir

  Produktionshelfer (m/w)
  - Kennziffer 50218 -

  an mehreren Standorte in Berlin.","Ihre Aufgaben:
  * Maschinenb",3,Unternehmensvorstellung,false
794,944, mehreren Standorte in Berlin.,"Ihre Aufgaben:
  * Maschinenbedienung
  * Unterstützung des Fachpersonals
  * Qualitäts- und Sichtprüfung
  * Verpacken der hergestellten Produkte","Ihr Profil:
  * Erste Berufse",4,Aufgabenbeschreibung,false
950,1103,ken der hergestellten Produkte,"Ihr Profil:
  * Erste Berufserfahrungen von Vorteil
  * Körperliche Belastbarkeit
  * Zuverlässigkeit, Teamfähigkeit und eine sorgfältige Arbeitsweise","Stellendetails:
  * Vollzeit
",5,Anforderungen,false
1109,1234, eine sorgfältige Arbeitsweise,"Stellendetails:
  * Vollzeit
  * Unbefristeter Arbeitsvertrag
  * Arbeit im 2- oder 3-Schichtsystem
  * Arbeitsort Berlin","Was Sie noch wissen sollten:
",6,Kontakt und Formalia,false
1240,1671,"tsystem
  * Arbeitsort Berlin","Was Sie noch wissen sollten:

  Sollten Sie sich unsicher sein, ob diese Stelle auf Sie zutrifft, lassen Sie uns gerne ins Gespräch kommen. Jedes Unternehmen hat individuelle Vorstellungen von seinen zukünftigen Mitarbeiterinnen und Mitarbeitern - doch bekanntlich ist niemand perfekt. Wir sind seit langem auf dem Gebiet der Personalvermittlung tätig und stehen Ihnen gern mit Rat und Tat zur Seite - ohne Vermittlungsgutschein.",Haben wir Ihr Interesse geweck,7,Irrelevantes (nicht aus 1-5),false
1677,1994, - ohne Vermittlungsgutschein.,"Haben wir Ihr Interesse geweckt?

  Dann freuen wir uns darauf Sie kennenzulernen! Bitte senden Sie Ihre Bewerbungsunterlagen gerne per Mail unter Angabe Ihrer Telefonnummer an:

  bewerbung@conway-berlin.de
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland",In der nachfolgenden Kartenans,8,Kontakt und Formalia,false
1998,2267,"
  Berlin, Berlin, Deutschland","In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden","Beginn der Tätigkeit

  Sofo",9,Irrelevantes (nicht aus 1-5),false
