begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,2300,,"Werkzeugmechaniker/in

  Arbeitsort: D-13403 Berlin · Berlin
  Firmenname:
  FNS Personal- und Informationssysteme GmbH
  Alter der Anzeige:
  28.10.2016 (14 Tage alt)
  Stellenbeschreibung
  Stellenbezeichnung
  Werkzeugmechaniker/in
  Jobbeschreibung
  Im Rahmen der privaten Arbeitsvermittlung suchen wir einen Werkzeugmechaniker (m/w) zur Festanstellung in einem Berliner Unternehmen - kein Personalleasing - Direktarbeitgeber!

  Ihre Aufgaben:

  - Sie sind verantwortlich für die Auswertung von technischen Zeichnungen
  - Das maschinelle Fräsen, Sägen, Bohren und Drehen gehören zu Ihren täglichen Aufgaben
  - Sie feilen und sägen manuell
  - Sie fertigen Werkzeuge mit Kontroll-, Mess- und Prüfgeräten
  - Tätigkeiten im Bereich Sägerei und Materialeingang mit Dokumentation bzw. Kennzeichnung
  - Sie prüfen und messen, um die Qualität der Werkstücke sicherzustellen

  Wir erwarten:

  - Sie sind im Besitz einer abgeschlossenen Berufsausbildung zum Werkzeugmechaniker (m/w) o. ä.
  - Sie haben erste Erfahrung im Bereich Formenbau für die metallverarbeitende Industrie
  - Zu Ihren persönlichen Eigenschaften gehören: technisches Verständnis und handwerkliches Geschick
  - Eine präzise und selbstständige Arbeitsweise zeichnet Sie aus
  - Es liegen Ihnen fundierte Kenntnisse in der Fertigung von Werkzeugen vor

  Sollten wir Ihr Interesse geweckt haben, dann bewerben Sie sich unter den angegebenen Kontaktdaten per Post, E-Mail oder ganz einfach telefonisch.

  Wir freuen uns auf Sie.

  Arbeitsort:
  13403 Berlin, DE

  Art der Anstellung: Arbeitsplatz
  Arbeitszeitmodell:
  * Vollzeit

  Erforderliche Qualifikationen:

  Führungsverantwortung: Keine Führungsverantwortung

  Kontakt:

  Herr
  FNS Personal- und Informationssysteme GmbH
  Storkower Str. 158
  10407 Berlin

  Tel: +49 30 221628390

  E-Mail-Adresse: kassner@fns-berlin.de

  Gewünschte Form der Bewerbung: über www.arbeitsagentur.de, telefonisch, schriftlich, persönlich, per E-Mail
  Geforderte Anlagen: Geforderte Anlagen: Lebenslauf, Zeugnisse
  Inhalte: © BUNDESAGENTUR FÜR ARBEIT, 2016
  Darstellung: © NETZMARKT INTERNETSERVICE GMBH & CO. KG, 2016
  Arbeitsort
  Ort
  Berlin
  PLZ
  D-13403
  Bundesland
  Berlin
  Land
  Deutschland",,0,Stellenanzeige,false
29,64,Werkzeugmechaniker/in,Arbeitsort: D-13403 Berlin · Berlin,"Firmenname:
  FNS Personal- u",1,Kontakt und Formalia,false
224,444,"hreibung
  Stellenbezeichnung","Werkzeugmechaniker/in
  Jobbeschreibung
  Im Rahmen der privaten Arbeitsvermittlung suchen wir einen Werkzeugmechaniker (m/w) zur Festanstellung in einem Berliner Unternehmen - kein Personalleasing - Direktarbeitgeber!","Ihre Aufgaben:

  - Sie sind",2,Unternehmensvorstellung,false
450,899,alleasing - Direktarbeitgeber!,"Ihre Aufgaben:

  - Sie sind verantwortlich für die Auswertung von technischen Zeichnungen
  - Das maschinelle Fräsen, Sägen, Bohren und Drehen gehören zu Ihren täglichen Aufgaben
  - Sie feilen und sägen manuell
  - Sie fertigen Werkzeuge mit Kontroll-, Mess- und Prüfgeräten
  - Tätigkeiten im Bereich Sägerei und Materialeingang mit Dokumentation bzw. Kennzeichnung
  - Sie prüfen und messen, um die Qualität der Werkstücke sicherzustellen","Wir erwarten:

  - Sie sind ",3,Aufgabenbeschreibung,false
905,1355,der Werkstücke sicherzustellen,"Wir erwarten:

  - Sie sind im Besitz einer abgeschlossenen Berufsausbildung zum Werkzeugmechaniker (m/w) o. ä.
  - Sie haben erste Erfahrung im Bereich Formenbau für die metallverarbeitende Industrie
  - Zu Ihren persönlichen Eigenschaften gehören: technisches Verständnis und handwerkliches Geschick
  - Eine präzise und selbstständige Arbeitsweise zeichnet Sie aus
  - Es liegen Ihnen fundierte Kenntnisse in der Fertigung von Werkzeugen vor",Sollten wir Ihr Interesse gewe,4,Anforderungen,false
1361,1507,r Fertigung von Werkzeugen vor,"Sollten wir Ihr Interesse geweckt haben, dann bewerben Sie sich unter den angegebenen Kontaktdaten per Post, E-Mail oder ganz einfach telefonisch.","Wir freuen uns auf Sie.

  A",5,Kontakt und Formalia,false
1513,1536,oder ganz einfach telefonisch.,Wir freuen uns auf Sie.,"Arbeitsort:
  13403 Berlin, D",6,Irrelevantes (nicht aus 1-5),false
1542,1647,".

  Wir freuen uns auf Sie.","Arbeitsort:
  13403 Berlin, DE

  Art der Anstellung: Arbeitsplatz
  Arbeitszeitmodell:
  * Vollzeit",Erforderliche Qualifikationen:,7,Kontakt und Formalia,false
1653,1739,"beitszeitmodell:
  * Vollzeit","Erforderliche Qualifikationen:

  Führungsverantwortung: Keine Führungsverantwortung","Kontakt:

  Herr
  FNS Pers",8,Anforderungen,false
1745,1917,g: Keine Führungsverantwortung,"Kontakt:

  Herr
  FNS Personal- und Informationssysteme GmbH
  Storkower Str. 158
  10407 Berlin

  Tel: +49 30 221628390

  E-Mail-Adresse: kassner@fns-berlin.de",Gewünschte Form der Bewerbung:,9,Kontakt und Formalia,false
1923,2300,Adresse: kassner@fns-berlin.de,"Gewünschte Form der Bewerbung: über www.arbeitsagentur.de, telefonisch, schriftlich, persönlich, per E-Mail
  Geforderte Anlagen: Geforderte Anlagen: Lebenslauf, Zeugnisse
  Inhalte: © BUNDESAGENTUR FÜR ARBEIT, 2016
  Darstellung: © NETZMARKT INTERNETSERVICE GMBH & CO. KG, 2016
  Arbeitsort
  Ort
  Berlin
  PLZ
  D-13403
  Bundesland
  Berlin
  Land
  Deutschland",,10,Irrelevantes (nicht aus 1-5),false
