begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,4918,,"Stellenangebot - Mitarbeiter Customer Support (w/m) in Festanstellung (IT-Kundenbetreuer/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1153250382-S
  Titel des Stellenangebots

  Mitarbeiter Customer Support (w/m) in Festanstellung (IT-Kundenbetreuer/in)
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  LITTLE BIRD GmbH

  Branche: Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie, Betriebsgröße: zwischen 6 und 50
  Stellenbeschreibung

  Unsere Vision

  Wir von LITTLE BIRD mischen als junges mehrfach ausgezeichnetes Berliner IT-Unternehmen seit Jahren die deutsche Städtelandschaft auf. Unser Produkt revolutioniert wie Eltern einen Kitaplatz bekommen, wie Kitas den Anmeldeprozess regeln und städtische Verwaltungen die Zukunft ihrer Kinderbetreuung gestalten. Unser Weg ist jedoch noch nicht zu Ende. Wir setzen zum nächsten Sprung an und wollen alle Eltern in Deutschland mit unserem Service erreichen.

  Damit wir uns auch in Zukunft dynamisch weiterentwickeln können, brauchen wir dringend Verstärkung für unser Team!

  - Wir sind ein sympathisches Team mit Ideen, Schaffenskraft, Erfahrung und Optimismus.

  - Wir arbeiten ständig daran, uns und unser Produkt weiterzuentwickeln und sind offen für Ideen und Anregungen.

  -Wir freuen uns über neue Leute, die mit uns arbeiten wollen und mit unserem Team und unseren Produkten wachsen möchten.

  -Wir arbeiten aus Überzeugung daran, Deutschland ein Stück familien- und kinderfreundlicher zu machen.

  -Wir entwickeln, vertreiben, vermarkten und betreuen ein Produkt, das ein bestehendes gesellschaftliches Problem löst.

  Ihre Profil

  -Sie sind erfahren in der Kundenbetreuung und finden sowohl am Telefon als auch im

  -persönlichen Gespräch schnell einen guten Draht zu unseren Kunden

  -Sie besitzen erste Erfahrungen bei der Durchführung funktionaler Softwaretests bzw erste Erfahrungen in der Testautomatisierung.

  -Ihre IT-Kenntnisse sind gefestigt und gepaart mit analytischem Denken

  Ihre Aufgaben

  Mit Ihnen im Team läuft es rund. Als weiteres Mitglied unseres Projektteams übernehmen Sie dabei vor allem klassische, serviceorientierte Aufgaben. Hierzu zählen im Einzelnen:

  -Fehleranalyse und Nachverfolgung im Fehlermanagement

  -Dokumentation der Testfälle, deren Planung und Ergebnisse

  -Planung und Steuerung von (kleineren) Testprojekten

  -Fehleranalyse sowie Planung geeigneter Testverfahren

  -Bereitstellung von Testdaten, Aufbau und Pflege von Testumgebungen

  -Bindungsglied zwischen Konzeptions-Verantwortlichem, Releaseplaner und Produktmanagement

  -Telefonischer und schriftlicher Support für
  EndnutzerInnen
  Verwaltungsebene
  Administration
  Träger / Einrichtungen / Tagespflegen / Eltern

  Unser Angebot

  - eine abwechslungsreiche Tätigkeit in einem langsam wachsenden Team mit flachen Hierarchien

  - Gestaltungsspielraum für eigene Ideen

  - Vollzeit, ab sofort

  Wir freuen uns über Ihre aussagekräftige Bewerbung mit Angabe Ihres frühestmöglichen Eintrittstermins sowie Ihrer Gehaltsvorstellung.

  Ihre schriftlichen Bewerbungsunterlagen sollten, neben einem tabellarischen Lebenslauf, auch Zeugnisse des höchsten Schulabschlusses und Arbeits- /Praktikumszeugnisse enthalten.
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Immanuelkirchstr. 14 a, 10405 Berlin, Prenzlauer Berg, Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Von 15.05.2017 bis 01.07.2017
  Anzahl offener Stellen

  1 Stelle
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  40 Wochenstunden
  Vergütung und Zusatzleistungen

  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Unbefristetes Arbeitsverhältnis

  Anforderungen an den Bewerber

  Berufsausbildung/ Studium
  IT-Kundenbetreuer/in

  Kontaktdaten

  Rückfragen und Bewerbungen an

  LITTLE BIRD GmbH
  Frau Frauke Sturm
  Immanuelkirchstr. 14 a
  10405 Berlin
  Prenzlauer Berg
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 91 20 65 60
  E-Mail
  anke.lorenz@little-bird.de
  Gewünschte Bewerbungsarten

  Über Internet
  Internetadresse
  Weitere Informationen zum Stellenangebot im Internet
  Bewerbungszeitraum

  10.05.2017 - 19.06.2017
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,0,Stellenanzeige,false
2,177,,"Stellenangebot - Mitarbeiter Customer Support (w/m) in Festanstellung (IT-Kundenbetreuer/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1153250382-S","Titel des Stellenangebots

 ",1,Irrelevantes (nicht aus 1-5),false
181,1707,"nummer

  10000-1153250382-S","Titel des Stellenangebots

  Mitarbeiter Customer Support (w/m) in Festanstellung (IT-Kundenbetreuer/in)
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  LITTLE BIRD GmbH

  Branche: Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie, Betriebsgröße: zwischen 6 und 50
  Stellenbeschreibung

  Unsere Vision

  Wir von LITTLE BIRD mischen als junges mehrfach ausgezeichnetes Berliner IT-Unternehmen seit Jahren die deutsche Städtelandschaft auf. Unser Produkt revolutioniert wie Eltern einen Kitaplatz bekommen, wie Kitas den Anmeldeprozess regeln und städtische Verwaltungen die Zukunft ihrer Kinderbetreuung gestalten. Unser Weg ist jedoch noch nicht zu Ende. Wir setzen zum nächsten Sprung an und wollen alle Eltern in Deutschland mit unserem Service erreichen.

  Damit wir uns auch in Zukunft dynamisch weiterentwickeln können, brauchen wir dringend Verstärkung für unser Team!

  - Wir sind ein sympathisches Team mit Ideen, Schaffenskraft, Erfahrung und Optimismus.

  - Wir arbeiten ständig daran, uns und unser Produkt weiterzuentwickeln und sind offen für Ideen und Anregungen.

  -Wir freuen uns über neue Leute, die mit uns arbeiten wollen und mit unserem Team und unseren Produkten wachsen möchten.

  -Wir arbeiten aus Überzeugung daran, Deutschland ein Stück familien- und kinderfreundlicher zu machen.

  -Wir entwickeln, vertreiben, vermarkten und betreuen ein Produkt, das ein bestehendes gesellschaftliches Problem löst.","Ihre Profil

  -Sie sind erf",2,Unternehmensvorstellung,false
1713,2095,sellschaftliches Problem löst.,"Ihre Profil

  -Sie sind erfahren in der Kundenbetreuung und finden sowohl am Telefon als auch im

  -persönlichen Gespräch schnell einen guten Draht zu unseren Kunden

  -Sie besitzen erste Erfahrungen bei der Durchführung funktionaler Softwaretests bzw erste Erfahrungen in der Testautomatisierung.

  -Ihre IT-Kenntnisse sind gefestigt und gepaart mit analytischem Denken","Ihre Aufgaben

  Mit Ihnen i",3,Anforderungen,false
2101,2859,epaart mit analytischem Denken,"Ihre Aufgaben

  Mit Ihnen im Team läuft es rund. Als weiteres Mitglied unseres Projektteams übernehmen Sie dabei vor allem klassische, serviceorientierte Aufgaben. Hierzu zählen im Einzelnen:

  -Fehleranalyse und Nachverfolgung im Fehlermanagement

  -Dokumentation der Testfälle, deren Planung und Ergebnisse

  -Planung und Steuerung von (kleineren) Testprojekten

  -Fehleranalyse sowie Planung geeigneter Testverfahren

  -Bereitstellung von Testdaten, Aufbau und Pflege von Testumgebungen

  -Bindungsglied zwischen Konzeptions-Verantwortlichem, Releaseplaner und Produktmanagement

  -Telefonischer und schriftlicher Support für
  EndnutzerInnen
  Verwaltungsebene
  Administration
  Träger / Einrichtungen / Tagespflegen / Eltern","Unser Angebot

  - eine abwe",4,Aufgabenbeschreibung,false
2865,3048,tungen / Tagespflegen / Eltern,"Unser Angebot

  - eine abwechslungsreiche Tätigkeit in einem langsam wachsenden Team mit flachen Hierarchien

  - Gestaltungsspielraum für eigene Ideen

  - Vollzeit, ab sofort",Wir freuen uns über Ihre aussa,5,Angebot an den Bewerber,false
3054,3370,"een

  - Vollzeit, ab sofort","Wir freuen uns über Ihre aussagekräftige Bewerbung mit Angabe Ihres frühestmöglichen Eintrittstermins sowie Ihrer Gehaltsvorstellung.

  Ihre schriftlichen Bewerbungsunterlagen sollten, neben einem tabellarischen Lebenslauf, auch Zeugnisse des höchsten Schulabschlusses und Arbeits- /Praktikumszeugnisse enthalten.","Führungsverantwortung

  Kei",6,Irrelevantes (nicht aus 1-5),false
3374,3523,Praktikumszeugnisse enthalten.,"Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Immanuelkirchstr. 14 a, 10405 Berlin, Prenzlauer Berg, Berlin, Deutschland",In der nachfolgenden Kartenans,7,Anforderungen,false
3527,3796,"auer Berg, Berlin, Deutschland","In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden","Beginn der Tätigkeit

  Von ",8,Irrelevantes (nicht aus 1-5),false
3800,4161,tellenangebot Karte ausblenden,"Beginn der Tätigkeit

  Von 15.05.2017 bis 01.07.2017
  Anzahl offener Stellen

  1 Stelle
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  40 Wochenstunden
  Vergütung und Zusatzleistungen

  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Unbefristetes Arbeitsverhältnis","Anforderungen an den Bewerber
",9,Kontakt und Formalia,false
