begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3864,,"Stellenangebot - Berlin Mitte, Personalberater m/w gesucht (Bürokaufmann/-frau)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1159507002-S
  Titel des Stellenangebots

  Berlin Mitte, Personalberater m/w gesucht (Bürokaufmann/-frau)
  Alternativberufe
  Bürokraft/Kaufmännische Fachkraft
  Personaldisponent/in
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  MSD Personal UG

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: zwischen 6 und 50
  Stellenbeschreibung

  Die MSD Personal UG ist ein Unternehmen aus dem Bereich Arbeitsvermittlung. Unsere qualifizierten Mitarbeiter/innen sind Ansprechpartner für viele Unternehmen in Ihrer Region. Somit besteht die Möglichkeit, Ihnen passgenaue Arbeitsplätze anbieten zu können.

  Für eine regionale Firma mit Sitz in Berlin Mitte suche ich eine/n Personalberater/in.

  Ihr Aufgabenfeld:
  - Planung und Steuerung der Personalsuche
  - Bewerbermanagement und Personalauswahl
  - Führung von Vorstellungs- und Beurteilungsgesprächen
  - Kundenbetreuung

  Ihr Profil:
  - erfolgreich abgeschlossene kaufmännische Ausbildung
  - erste Kenntnisse aus dem Personalbereich erforderlich
  - Kommunikationsstärke
  - sehr gute MS-Office Kenntnisse
  - Führerschein Klasse B oder 3

  Wir bieten:
  - unbefristeter Arbeitsvertrag in Vollzeit bei 40h/Woche
  - attraktive Vergütungsmöglichkeit, je nach Qualifikation verhandelbar
  - intensive Einarbeitung und Weiterbildungsmöglichkeiten
  - Arbeitszeiten Montag bis Freitag
  - Zahlung von Weihnachts- und Urlaubsgeld
  - sehr gute Verkehrsanbindung

  Sollte dieses Stellenangebot nicht Ihren Vorstellungen entsprechen, freuen wir uns dennoch auf Ihre Bewerbung. Alternativ können wir Ihnen weitere Stellenangebote unterbreiten und Sie bei Ihrer Arbeitssuche unterstützen.

  Ansprechpartnerin: Anke Troschitz (anke.troschitz@msd-personal.de)

  Bitte beachten Sie, dass wir aufgrund der hohen Anzahl an Bewerbungen, Ihre Unterlagen nur mit einem beiliegenden und ausreichend frankierten Rückumschlag zurücksenden. Ihre Bewerbungsunterlagen werden bei der Weiterbearbeitung elektronisch gespeichert. Ein Widerspruch ist formlos jederzeit möglich.
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland
  10178 Berlin, Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Ab 15.02.2018
  Anzahl offener Stellen

  2 Stellen
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  40 Wochenstunden
  Vergütung und Zusatzleistungen

  attraktive Vergütungsmöglichkeit, je nach Qualifikation verhandelbar
  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Unbefristetes Arbeitsverhältnis

  Anforderungen an den Bewerber

  Reise-/ Montagebereitschaft

  Nicht erforderlich

  Kontaktdaten

  Rückfragen und Bewerbungen an

  MSD Personal UG
  Frau Anke Troschitz
  Französische Straße 12
  10117 Berlin
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 1 20 87 07 58
  Faxnummer: +49 (3 51) 48 45 27 29
  E-Mail
  anke.troschitz@msd-personal.de
  Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch
  Internetadresse
  Weitere Informationen zum Stellenangebot im Internet
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,0,Stellenanzeige,false
2,413,,"Stellenangebot - Berlin Mitte, Personalberater m/w gesucht (Bürokaufmann/-frau)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1159507002-S
  Titel des Stellenangebots

  Berlin Mitte, Personalberater m/w gesucht (Bürokaufmann/-frau)
  Alternativberufe
  Bürokraft/Kaufmännische Fachkraft
  Personaldisponent/in
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)","Arbeitgeber
  MSD Personal UG",1,Irrelevantes (nicht aus 1-5),false
417,904,(sozialversicherungspflichtig),"Arbeitgeber
  MSD Personal UG

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: zwischen 6 und 50
  Stellenbeschreibung

  Die MSD Personal UG ist ein Unternehmen aus dem Bereich Arbeitsvermittlung. Unsere qualifizierten Mitarbeiter/innen sind Ansprechpartner für viele Unternehmen in Ihrer Region. Somit besteht die Möglichkeit, Ihnen passgenaue Arbeitsplätze anbieten zu können.

  Für eine regionale Firma mit Sitz in Berlin Mitte suche ich eine/n Personalberater/in.","Ihr Aufgabenfeld:
  - Planung",2,Unternehmensvorstellung,false
910,1095,ich eine/n Personalberater/in.,"Ihr Aufgabenfeld:
  - Planung und Steuerung der Personalsuche
  - Bewerbermanagement und Personalauswahl
  - Führung von Vorstellungs- und Beurteilungsgesprächen
  - Kundenbetreuung","Ihr Profil:
  - erfolgreich a",3,Aufgabenbeschreibung,false
1101,1324,"esprächen
  - Kundenbetreuung","Ihr Profil:
  - erfolgreich abgeschlossene kaufmännische Ausbildung
  - erste Kenntnisse aus dem Personalbereich erforderlich
  - Kommunikationsstärke
  - sehr gute MS-Office Kenntnisse
  - Führerschein Klasse B oder 3","Wir bieten:
  - unbefristeter",4,Anforderungen,false
1330,1651,- Führerschein Klasse B oder 3,"Wir bieten:
  - unbefristeter Arbeitsvertrag in Vollzeit bei 40h/Woche
  - attraktive Vergütungsmöglichkeit, je nach Qualifikation verhandelbar
  - intensive Einarbeitung und Weiterbildungsmöglichkeiten
  - Arbeitszeiten Montag bis Freitag
  - Zahlung von Weihnachts- und Urlaubsgeld
  - sehr gute Verkehrsanbindung",Sollte dieses Stellenangebot n,5,Angebot an den Bewerber,false
1657,1877, - sehr gute Verkehrsanbindung,"Sollte dieses Stellenangebot nicht Ihren Vorstellungen entsprechen, freuen wir uns dennoch auf Ihre Bewerbung. Alternativ können wir Ihnen weitere Stellenangebote unterbreiten und Sie bei Ihrer Arbeitssuche unterstützen.",Ansprechpartnerin: Anke Trosch,6,Irrelevantes (nicht aus 1-5),false
1883,1949,rer Arbeitssuche unterstützen.,Ansprechpartnerin: Anke Troschitz (anke.troschitz@msd-personal.de),"Bitte beachten Sie, dass wir a",7,Kontakt und Formalia,false
1955,2255,nke.troschitz@msd-personal.de),"Bitte beachten Sie, dass wir aufgrund der hohen Anzahl an Bewerbungen, Ihre Unterlagen nur mit einem beiliegenden und ausreichend frankierten Rückumschlag zurücksenden. Ihre Bewerbungsunterlagen werden bei der Weiterbearbeitung elektronisch gespeichert. Ein Widerspruch ist formlos jederzeit möglich.","Führungsverantwortung

  Kei",8,Irrelevantes (nicht aus 1-5),false
2259,2398,ist formlos jederzeit möglich.,"Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland
  10178 Berlin, Berlin, Deutschland",In der nachfolgenden Kartenans,9,Kontakt und Formalia,false
2402,3185,"78 Berlin, Berlin, Deutschland","In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Ab 15.02.2018
  Anzahl offener Stellen

  2 Stellen
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  40 Wochenstunden
  Vergütung und Zusatzleistungen

  attraktive Vergütungsmöglichkeit, je nach Qualifikation verhandelbar
  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Unbefristetes Arbeitsverhältnis

  Anforderungen an den Bewerber

  Reise-/ Montagebereitschaft

  Nicht erforderlich","Kontaktdaten

  Rückfragen u",10,Irrelevantes (nicht aus 1-5),false
3191,3494,"schaft

  Nicht erforderlich","Kontaktdaten

  Rückfragen und Bewerbungen an

  MSD Personal UG
  Frau Anke Troschitz
  Französische Straße 12
  10117 Berlin
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 1 20 87 07 58
  Faxnummer: +49 (3 51) 48 45 27 29
  E-Mail
  anke.troschitz@msd-personal.de","Gewünschte Bewerbungsarten

",11,Kontakt und Formalia,false
3498,3864,anke.troschitz@msd-personal.de,"Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch
  Internetadresse
  Weitere Informationen zum Stellenangebot im Internet
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,12,Irrelevantes (nicht aus 1-5),false
