begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3704,,"Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit für Berlin gesucht

  Zeitarbeit Stellenangebot im Regiobizz Arbeitsmarkt
  Suche nach PLZ
  Ort
  Suchwort(e)

  Job Kategorie: Sonstige Branchen Sonstige Tätigkeitsbereiche

  Stellenangebot Basisdaten

  Arbeitsort:
  DE 10719 Berlin

  Umkreis:
  keine Angabe.

  Art der Arbeitsstelle:

  Letze Aktualisierung:
  25.10.20192019-10-25

  ONLINE BEWERBEN - KLICKEN SIE HIER UM DAS ONLINE BEWERBUNGSFORMULAR ZU ÖFFNEN

  Stellenausschreibung: Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit

  Arbeitgeber bzw.
  Arbeitsvermittler
  Amadeus FiRe AG in Berlin

  Branche
  Sonstige Branchen

  Kategorie
  Sonstige Tätigkeitsbereiche

  Stellenbeschreibung
  Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in TeilzeitReferenz 12-79115 Sie sind auf der Suche nach einem spannenden und abwechslungsreichen Arbeitsumfeld und möchten sich fachlich sowie persönlich weiterentwickeln? Sie legen großen Wert auf ein gutes Arbeitsklima mit einem motivierten Team? Dann lesen Sie weiter, denn unser Kunde bietet Ihnen genau diese Aspekte. Unser Kunde ist ein etabliertes Produktionsunternehmen aus der Filmbranche und sucht einen engagierten Alleinbuchhalter (m/w/d). Das Unternehmen bietet Ihnen die Chance, ein wertvolles Mitglied des Teams zu werden. Wenn Sie sich damit identifizieren können, dann zögern Sie nicht und bewerben Sie sich als Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit. Ihre Aufgaben: Bearbeitung der laufenden Geschäftsvorfälle Korrespondenz mit dem Finanzamt, Steuerbüro und Krankenkassen Lohn- und Gehaltsabrechnungen Mitwirkung am Zahlungsverkehr Erstellung von betriebswirtschaftlichen Analysen Zahlungsverkehr Ansprechpartner
  zu steuerrechtlichen Themen Stammdaten- und Kontenpflege Ihr Profil: Erfolgreich abgeschlossene kaufmännische Ausbildung Mehrjährige Berufserfahrung in der Hauptbuchhaltung Gute Kenntnisse der Rechnungslegung nach HGB sind wünschenswert Sehr gute Kenntnisse im Umgang mit dem MS Office-Paket sowie in einem gängigen Buchhaltungssystem, idealerweise Sesam Fibu Ausdauer und Einsatzbereitschaft Gewissenhaftigkeit und Flexibilität Zielorientierte und selbständige Arbeitsweise Die Amadeus FiRe AG bringt als spezialisierter Personaldienstleister jeden Tag Fach- und Führungskräfte aus dem kaufmännischen und IT-Bereich mit nationalen und internationalen Unternehmen zusammen. Nutzen Sie unsere persönlichen Kontakte zu Arbeitgebern bundesweit! Wir empfehlen Sie an unsere Kunden weiter und erleichtern Ihnen damit den Einstieg ins Unternehmen! Für einen ersten vertraulichen Kontakt steht Ihnen Frau Valerie Kempel (Tel +49 (0) 30 278954-281) gerne zur Verfügung. Interessiert an der Stelle als
  Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit? Dann freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen (max. 5 MB) unter Angabe Ihrer Gehaltsvorstellung und des frühestmöglichen Eintrittstermins bevorzugt per Online-Bewerbungsformular oder per E-Mail unter Nennung der Referenznummer 12-79115 an: accounting.berlin@amadeus-fire.deAmadeus FiRe AGNiederlassung Berlin Kranzler Eck, Kurfürstendamm 21 . 10719 Berlin . Tel.: 030 278954-0

  Qualifikation
  Arbeitskräfte

  Verdienst:
  n.a.

  Bewerbung an
  Amadeus FiRe AG
  Amadeus FiRe AG
  De 10719 Berlin

  Stellenangebot powered by

  Die Veröffentlichung dieses Stellenangebotes bei regiobizz.de erfolgt mit freundlicher Genehmigung von GermanPersonnel im Namen des Stellenanbieters. Eine gewerbliche Nutzung dieser Daten sowie deren Veröffentlichung in jeder Form ist ohne ausdrückliche Genehmigung von GermanPersonnel strengstens untersagt.",,0,Stellenanzeige,false
2,419,,"Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit für Berlin gesucht

  Zeitarbeit Stellenangebot im Regiobizz Arbeitsmarkt
  Suche nach PLZ
  Ort
  Suchwort(e)

  Job Kategorie: Sonstige Branchen Sonstige Tätigkeitsbereiche

  Stellenangebot Basisdaten

  Arbeitsort:
  DE 10719 Berlin

  Umkreis:
  keine Angabe.

  Art der Arbeitsstelle:

  Letze Aktualisierung:
  25.10.20192019-10-25",ONLINE BEWERBEN - KLICKEN SIE ,1,Irrelevantes (nicht aus 1-5),false
425,740,"erung:
  25.10.20192019-10-25","ONLINE BEWERBEN - KLICKEN SIE HIER UM DAS ONLINE BEWERBUNGSFORMULAR ZU ÖFFNEN

  Stellenausschreibung: Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit

  Arbeitgeber bzw.
  Arbeitsvermittler
  Amadeus FiRe AG in Berlin

  Branche
  Sonstige Branchen

  Kategorie
  Sonstige Tätigkeitsbereiche","Stellenbeschreibung
  Alleinb",2,Unternehmensvorstellung,false
746,1267,"
  Sonstige Tätigkeitsbereiche","Stellenbeschreibung
  Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in TeilzeitReferenz 12-79115 Sie sind auf der Suche nach einem spannenden und abwechslungsreichen Arbeitsumfeld und möchten sich fachlich sowie persönlich weiterentwickeln? Sie legen großen Wert auf ein gutes Arbeitsklima mit einem motivierten Team? Dann lesen Sie weiter, denn unser Kunde bietet Ihnen genau diese Aspekte. Unser Kunde ist ein etabliertes Produktionsunternehmen aus der Filmbranche und sucht einen engagierten Alleinbuchhalter (m/w/d)",. Das Unternehmen bietet Ihnen,3,Unternehmensvorstellung,false
1269,1505,rten Alleinbuchhalter (m/w/d).,"Das Unternehmen bietet Ihnen die Chance, ein wertvolles Mitglied des Teams zu werden. Wenn Sie sich damit identifizieren können, dann zögern Sie nicht und bewerben Sie sich als Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit.",Ihre Aufgaben: Bearbeitung der,4,Angebot an den Bewerber,false
1506,1827,SESAM-Kenntnissen in Teilzeit.,"Ihre Aufgaben: Bearbeitung der laufenden Geschäftsvorfälle Korrespondenz mit dem Finanzamt, Steuerbüro und Krankenkassen Lohn- und Gehaltsabrechnungen Mitwirkung am Zahlungsverkehr Erstellung von betriebswirtschaftlichen Analysen Zahlungsverkehr Ansprechpartner
  zu steuerrechtlichen Themen Stammdaten- und Kontenpflege",Ihr Profil: Erfolgreich abgesc,5,Aufgabenbeschreibung,false
1828,2245,n Stammdaten- und Kontenpflege,"Ihr Profil: Erfolgreich abgeschlossene kaufmännische Ausbildung Mehrjährige Berufserfahrung in der Hauptbuchhaltung Gute Kenntnisse der Rechnungslegung nach HGB sind wünschenswert Sehr gute Kenntnisse im Umgang mit dem MS Office-Paket sowie in einem gängigen Buchhaltungssystem, idealerweise Sesam Fibu Ausdauer und Einsatzbereitschaft Gewissenhaftigkeit und Flexibilität Zielorientierte und selbständige Arbeitsweise",Die Amadeus FiRe AG bringt als,6,Anforderungen,false
2246,2612, und selbständige Arbeitsweise,Die Amadeus FiRe AG bringt als spezialisierter Personaldienstleister jeden Tag Fach- und Führungskräfte aus dem kaufmännischen und IT-Bereich mit nationalen und internationalen Unternehmen zusammen. Nutzen Sie unsere persönlichen Kontakte zu Arbeitgebern bundesweit! Wir empfehlen Sie an unsere Kunden weiter und erleichtern Ihnen damit den Einstieg ins Unternehmen!,Für einen ersten vertraulichen,7,Unternehmensvorstellung,false
2613,3224, den Einstieg ins Unternehmen!,"Für einen ersten vertraulichen Kontakt steht Ihnen Frau Valerie Kempel (Tel +49 (0) 30 278954-281) gerne zur Verfügung. Interessiert an der Stelle als
  Alleinbuchhalter (m/w/d) mit SESAM-Kenntnissen in Teilzeit? Dann freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen (max. 5 MB) unter Angabe Ihrer Gehaltsvorstellung und des frühestmöglichen Eintrittstermins bevorzugt per Online-Bewerbungsformular oder per E-Mail unter Nennung der Referenznummer 12-79115 an: accounting.berlin@amadeus-fire.deAmadeus FiRe AGNiederlassung Berlin Kranzler Eck, Kurfürstendamm 21 . 10719 Berlin . Tel.: 030 278954-0","Qualifikation
  Arbeitskräfte",8,Kontakt und Formalia,false
3230,3704,19 Berlin . Tel.: 030 278954-0,"Qualifikation
  Arbeitskräfte

  Verdienst:
  n.a.

  Bewerbung an
  Amadeus FiRe AG
  Amadeus FiRe AG
  De 10719 Berlin

  Stellenangebot powered by

  Die Veröffentlichung dieses Stellenangebotes bei regiobizz.de erfolgt mit freundlicher Genehmigung von GermanPersonnel im Namen des Stellenanbieters. Eine gewerbliche Nutzung dieser Daten sowie deren Veröffentlichung in jeder Form ist ohne ausdrückliche Genehmigung von GermanPersonnel strengstens untersagt.",,9,Irrelevantes (nicht aus 1-5),false
