begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3580,,"Suche nach Keyworten
  *

  Berlin

  E-Mail: [javascript protected email address]
  hier bewerben

  Albert-Schweitzer-Kinderdorf Berlin e.V.

  * Berlin
  * Post Datum: 29.02.2020

  * [javascript protected email address]

  PÃ¤dagogische Fachkraft Familienwohngruppe Berlin/Hermsdorf (30h)

  PÃ¤dagogische Fachkraft Familienwohngruppe Berlin/Hermsdorf (30h)

  Berlin

  Die Kinderdorffamilie - Arbeiten in kleinen Teams - für ein besonderes Angebot der stationären Jugendhilfe

  In unseren 18 Kinderdorffamilien betreuen und fördern wir Kinder und Jugendliche, die längerfristig nicht in ihren Herkunftsfamilien leben können. Unsere Teams, bestehend aus einer innewohnenden Hausleitung, zwei hinzukommenden ErzieherInnen und einer Hauswirtschaftskraft, ermöglichen bis zu sechs Kindern die Erfahrung von verlässlichen, familienähnlichen Strukturen auf professioneller Grundlage.

  ab Februar 2020 suchen wir für unsere

  Wohngruppe im Kinderdorf Berlin-Hermsdorf

  eine pädagogische Fachkraft

  30 Stunden / Woche

  Als pädagogische Fachkraft fördern Sie in enger Abstimmung mit der innewohnenden pädagogischen Fachkraft die individuelle und soziale Entwicklung der Kinder und gestalten gemeinsam den familiären Alltag. Als Teil des Teams gewährleisten Sie für die betreuten Kinder und Jugendlichen Kontinuität und Stabilität der Beziehung.

  Zu unserem Standort Hermsdorf gehören drei Kinderdorffamilien. Die MitarbeiterInnen dort stehen in kollegialem Austausch und unterstützen sich gegenseitig.

  Ausgehend von unseren Wurzeln im bürgerschaftlichen Engagement und den humanistischen Wertvorstellungen Albert Schweitzers unterstützt unser Kinderdorf seit 1960 die Entwicklung und das Aufwachsen von Kindern und Jugendlichen in Berlin und ist - damals wie heute - ein moderner, leistungsfähiger Träger der freien Jugendhilfe.

  Wenn Sie

  * Freude an der Arbeit mit Kindern unterschiedlichen Alters mitbringen
  * die kontinuierliche Beziehungsarbeit in einer familiär strukturierten, kleinen Gruppe schätzen
  * eine abgeschlossene Ausbildung als Erzieher*in mit staatlicher Anerkennung, einen Studienabschluss in Sozialer Arbeit, bzw. einen vergleichbaren Abschluss haben
  * ein langfristiges Engagement wünschen
  * offen für flexible Arbeitszeiten sind (in Vertretung auch 24-Stunden-Dienste)

  dann bewerben Sie sich bei uns!

  Wir bieten Ihnen

  * eine sinnstiftende Tätigkeit in einem kleinem Team
  * professionelle fachliche Begleitung und Supervision
  * vielfältige trägerfinanzierte Fort- und Weiterbildungsangebote
  * sichere Arbeitsbedingungen
  * eine Ihren Aufgaben entsprechende Vergütung, Zulagen sowie eine zusätzliche betriebliche Altersversorgung
  * die (zeitlich befristete) kostengünstige Nutzung eines vereinseigenen Apartments, insbesondere für Neu-BerlinerInnen und solche, die es werden wollen

  Mehr Informationen über den Albert-Schweitzer-Kinderdorf Berlin e.V. finden Sie hier.
  Rückfragen beantwortet Ihnen gerne Angelika San-Nicolas unter Tel.: 030 - 36 50 93 08 - 7 oder per Mail unter san-nicolas@kinderdorf-berlin.de.

  Wir freuen uns auf Ihre Bewerbung!

  Eine Stellenanzeige von Albert-Schweitzer-Kinderdorf Berlin e.V.
  __________________________________________________

  KONTAKT-INFOS

  Unternehmen Albert-Schweitzer-Kinderdorf Berlin e.V.
  Straße      Weiter Blick 46
  PLZ         14089
  Ort         Berlin
  E-Mail      [javascript protected email address]
  Homepage    https://www.albert-schweitzer-verband.de/
  hier bewerben",,0,Stellenanzeige,false
2,238,,"Suche nach Keyworten
  *

  Berlin

  E-Mail: [javascript protected email address]
  hier bewerben

  Albert-Schweitzer-Kinderdorf Berlin e.V.

  * Berlin
  * Post Datum: 29.02.2020

  * [javascript protected email address]",PÃ¤dagogische Fachkraft Famili,1,Irrelevantes (nicht aus 1-5),false
244,1056,cript protected email address],"PÃ¤dagogische Fachkraft Familienwohngruppe Berlin/Hermsdorf (30h)

  PÃ¤dagogische Fachkraft Familienwohngruppe Berlin/Hermsdorf (30h)

  Berlin

  Die Kinderdorffamilie - Arbeiten in kleinen Teams - für ein besonderes Angebot der stationären Jugendhilfe

  In unseren 18 Kinderdorffamilien betreuen und fördern wir Kinder und Jugendliche, die längerfristig nicht in ihren Herkunftsfamilien leben können. Unsere Teams, bestehend aus einer innewohnenden Hausleitung, zwei hinzukommenden ErzieherInnen und einer Hauswirtschaftskraft, ermöglichen bis zu sechs Kindern die Erfahrung von verlässlichen, familienähnlichen Strukturen auf professioneller Grundlage.

  ab Februar 2020 suchen wir für unsere

  Wohngruppe im Kinderdorf Berlin-Hermsdorf

  eine pädagogische Fachkraft

  30 Stunden / Woche",Als pädagogische Fachkraft för,2,Unternehmensvorstellung,false
1062,1547,"hkraft

  30 Stunden / Woche","Als pädagogische Fachkraft fördern Sie in enger Abstimmung mit der innewohnenden pädagogischen Fachkraft die individuelle und soziale Entwicklung der Kinder und gestalten gemeinsam den familiären Alltag. Als Teil des Teams gewährleisten Sie für die betreuten Kinder und Jugendlichen Kontinuität und Stabilität der Beziehung.

  Zu unserem Standort Hermsdorf gehören drei Kinderdorffamilien. Die MitarbeiterInnen dort stehen in kollegialem Austausch und unterstützen sich gegenseitig.",Ausgehend von unseren Wurzeln ,3,Aufgabenbeschreibung,false
1553,1879,unterstützen sich gegenseitig.,"Ausgehend von unseren Wurzeln im bürgerschaftlichen Engagement und den humanistischen Wertvorstellungen Albert Schweitzers unterstützt unser Kinderdorf seit 1960 die Entwicklung und das Aufwachsen von Kindern und Jugendlichen in Berlin und ist - damals wie heute - ein moderner, leistungsfähiger Träger der freien Jugendhilfe.","Wenn Sie

  * Freude an der ",4,Unternehmensvorstellung,false
1885,2398,Träger der freien Jugendhilfe.,"Wenn Sie

  * Freude an der Arbeit mit Kindern unterschiedlichen Alters mitbringen
  * die kontinuierliche Beziehungsarbeit in einer familiär strukturierten, kleinen Gruppe schätzen
  * eine abgeschlossene Ausbildung als Erzieher*in mit staatlicher Anerkennung, einen Studienabschluss in Sozialer Arbeit, bzw. einen vergleichbaren Abschluss haben
  * ein langfristiges Engagement wünschen
  * offen für flexible Arbeitszeiten sind (in Vertretung auch 24-Stunden-Dienste)

  dann bewerben Sie sich bei uns!","Wir bieten Ihnen

  * eine s",5,Anforderungen,false
2404,2901,ann bewerben Sie sich bei uns!,"Wir bieten Ihnen

  * eine sinnstiftende Tätigkeit in einem kleinem Team
  * professionelle fachliche Begleitung und Supervision
  * vielfältige trägerfinanzierte Fort- und Weiterbildungsangebote
  * sichere Arbeitsbedingungen
  * eine Ihren Aufgaben entsprechende Vergütung, Zulagen sowie eine zusätzliche betriebliche Altersversorgung
  * die (zeitlich befristete) kostengünstige Nutzung eines vereinseigenen Apartments, insbesondere für Neu-BerlinerInnen und solche, die es werden wollen",Mehr Informationen über den Al,6,Angebot an den Bewerber,false
2907,3139,"d solche, die es werden wollen","Mehr Informationen über den Albert-Schweitzer-Kinderdorf Berlin e.V. finden Sie hier.
  Rückfragen beantwortet Ihnen gerne Angelika San-Nicolas unter Tel.: 030 - 36 50 93 08 - 7 oder per Mail unter san-nicolas@kinderdorf-berlin.de.",Wir freuen uns auf Ihre Bewerb,7,Kontakt und Formalia,false
3145,3303,-nicolas@kinderdorf-berlin.de.,"Wir freuen uns auf Ihre Bewerbung!

  Eine Stellenanzeige von Albert-Schweitzer-Kinderdorf Berlin e.V.
  __________________________________________________","KONTAKT-INFOS

  Unternehmen",8,Irrelevantes (nicht aus 1-5),false
3309,3454,______________________________,"KONTAKT-INFOS

  Unternehmen Albert-Schweitzer-Kinderdorf Berlin e.V.
  Straße      Weiter Blick 46
  PLZ         14089
  Ort         Berlin",E-Mail      [javascript protec,9,Kontakt und Formalia,false
