begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3256,,"Suche nach Keyworten
  *

  Berlin

  E-Mail: [javascript protected email address]
  hier bewerben

  Rosinke Berlin GmbH

  * Berlin
  * Post Datum: 29.02.2020

  * [javascript protected email address]

  Gabelstaplerfahrer (m/w/d) fÃ¼r Spandau

  Das sind Ihre Aufgaben:
  * Be- und entladen von Ladeeinheiten mittels Flurförderfahrzeug
  * Wechseln und reinigen von Flurförderfahrzeugbatterien
  * Melden auftretender Störungen und Abweichungen

  Das bringen Sie mit:
  * Sie verfügen über Berufserfahrung als Staplerfahrer (m/w/d)
  * Sie besitzen die Berechtigung zum Fahren von Flurförderfahrzeugen
  * Sie haben ein gutes räumliches Vorstellungsvermögen
  * Zudem sind Sie belastbar und flexibel

  Das bieten wir Ihnen:
  * Attraktive Entlohnung nach BAP-Tarif mit Zulagen
  * Einen unbefristeten Arbeitsvertrag
  * Weihnachts- und Urlaubsgeld
  * Betriebliche Altersvorsorge
  * Zusätzliche Sozialleistungen (z. B. Zahnzusatzversicherung)
  * Einen persönlichen Personalberater zur individuellen Betreuung und Beratung
  * Die Möglichkeit der Direktvermittlung in ein Unternehmen
  * Rahmenbedingungen, die Ihren Bedürfnissen angepasst sind, auch wenn sich Ihre Situation verändert

  Zusätzliche Goodies:
  * Vergünstigte BVG Fahrkarte (Firmenticket)
  * Mitarbeiterangebote für über 600 Marken (u.a. adidas, Apple, Samsung, Body Shop und mehr)
  * Prämien für das Werben neuer Mitarbeiter
  * Die Möglichkeit Ihre berufliche Karriere selbst und individuell zu gestalten

  Haben wir Ihr Interesse geweckt?

  Sie können über den untenstehenden Button Ihre Bewerbung direkt an uns absenden.

  Ebenfalls freuen wir uns auf Ihre Unterlagen per Post oder E-Mail an job@rosinke-berlin.de

  Besuchen Sie uns auf:

  Für weitere Informationen zur Stelle steht Ihnen Herr Daniel Burau gerne zur Verfügung.

  Telefon: 030 755 16 80 0
  Fax: 030 755 16 80 19

  Hinweis: Alle Stellenausschreibungen richten sich stets an Bewerber (m/w/d), unabhängig von Alter, Geschlecht, ethnischer Zugehörigkeit, sexueller Orientierung, Behinderung, Religion und Weltanschauung etc. Die Bewerberauswahl erfolgt ausschließlich qualifikationsorientiert. Bitte beachten Sie, dass wir postalische Bewerbungen nur zurücksenden können, wenn Ihren Unterlagen ein frankierter Rückumschlag beiliegt.

  Die aktuellen Hinweise zum Datenschutz finden Sie hier: Hinweise zum Datenschutz in neuem Fenster öffnen »

  Sie werden gebraucht!
  Gemeinsam finden wir den Arbeitsplatz, der zu Ihnen passt. Unser Team berät Sie individuell, zeigt Ihnen Möglichkeiten auf und geht auf Ihre Wünsche ein.
  Damit sind wir - die Rosinke GmbH - seit 1998 erfolgreich. Uns vertrauen über 1.500 Mitarbeiter aus mehr als 22 Nationen. Wir sind für Sie da - an 22 Standorten deutschlandweit!
  Trauen Sie sich jetzt - wir brauchen Sie!

  Für weitere Fragen und Wünsche steht Ihnen unser Ansprechpartner gerne zur Verfügung.
  Eine Stellenanzeige von Rosinke Berlin GmbH
  __________________________________________________

  KONTAKT-INFOS

  Unternehmen Rosinke Berlin GmbH
  Straße      ChausseestraÃŸe 92
  PLZ         10115
  Ort         Berlin
  E-Mail      [javascript protected email address]
  hier bewerben",,0,Stellenanzeige,false
2,217,,"Suche nach Keyworten
  *

  Berlin

  E-Mail: [javascript protected email address]
  hier bewerben

  Rosinke Berlin GmbH

  * Berlin
  * Post Datum: 29.02.2020

  * [javascript protected email address]",Gabelstaplerfahrer (m/w/d) fÃ¼,1,Irrelevantes (nicht aus 1-5),false
223,469,cript protected email address],"Gabelstaplerfahrer (m/w/d) fÃ¼r Spandau

  Das sind Ihre Aufgaben:
  * Be- und entladen von Ladeeinheiten mittels Flurförderfahrzeug
  * Wechseln und reinigen von Flurförderfahrzeugbatterien
  * Melden auftretender Störungen und Abweichungen","Das bringen Sie mit:
  * Sie ",2,Aufgabenbeschreibung,false
475,731,der Störungen und Abweichungen,"Das bringen Sie mit:
  * Sie verfügen über Berufserfahrung als Staplerfahrer (m/w/d)
  * Sie besitzen die Berechtigung zum Fahren von Flurförderfahrzeugen
  * Sie haben ein gutes räumliches Vorstellungsvermögen
  * Zudem sind Sie belastbar und flexibel","Das bieten wir Ihnen:
  * Att",3,Anforderungen,false
737,1229,ind Sie belastbar und flexibel,"Das bieten wir Ihnen:
  * Attraktive Entlohnung nach BAP-Tarif mit Zulagen
  * Einen unbefristeten Arbeitsvertrag
  * Weihnachts- und Urlaubsgeld
  * Betriebliche Altersvorsorge
  * Zusätzliche Sozialleistungen (z. B. Zahnzusatzversicherung)
  * Einen persönlichen Personalberater zur individuellen Betreuung und Beratung
  * Die Möglichkeit der Direktvermittlung in ein Unternehmen
  * Rahmenbedingungen, die Ihren Bedürfnissen angepasst sind, auch wenn sich Ihre Situation verändert","Zusätzliche Goodies:
  * Verg",4,Angebot an den Bewerber,false
1235,1525, sich Ihre Situation verändert,"Zusätzliche Goodies:
  * Vergünstigte BVG Fahrkarte (Firmenticket)
  * Mitarbeiterangebote für über 600 Marken (u.a. adidas, Apple, Samsung, Body Shop und mehr)
  * Prämien für das Werben neuer Mitarbeiter
  * Die Möglichkeit Ihre berufliche Karriere selbst und individuell zu gestalten",Haben wir Ihr Interesse geweck,5,Angebot an den Bewerber,false
1531,1920,t und individuell zu gestalten,"Haben wir Ihr Interesse geweckt?

  Sie können über den untenstehenden Button Ihre Bewerbung direkt an uns absenden.

  Ebenfalls freuen wir uns auf Ihre Unterlagen per Post oder E-Mail an job@rosinke-berlin.de

  Besuchen Sie uns auf:

  Für weitere Informationen zur Stelle steht Ihnen Herr Daniel Burau gerne zur Verfügung.

  Telefon: 030 755 16 80 0
  Fax: 030 755 16 80 19",Hinweis: Alle Stellenausschrei,6,Kontakt und Formalia,false
1926,3054," 80 0
  Fax: 030 755 16 80 19","Hinweis: Alle Stellenausschreibungen richten sich stets an Bewerber (m/w/d), unabhängig von Alter, Geschlecht, ethnischer Zugehörigkeit, sexueller Orientierung, Behinderung, Religion und Weltanschauung etc. Die Bewerberauswahl erfolgt ausschließlich qualifikationsorientiert. Bitte beachten Sie, dass wir postalische Bewerbungen nur zurücksenden können, wenn Ihren Unterlagen ein frankierter Rückumschlag beiliegt.

  Die aktuellen Hinweise zum Datenschutz finden Sie hier: Hinweise zum Datenschutz in neuem Fenster öffnen »

  Sie werden gebraucht!
  Gemeinsam finden wir den Arbeitsplatz, der zu Ihnen passt. Unser Team berät Sie individuell, zeigt Ihnen Möglichkeiten auf und geht auf Ihre Wünsche ein.
  Damit sind wir - die Rosinke GmbH - seit 1998 erfolgreich. Uns vertrauen über 1.500 Mitarbeiter aus mehr als 22 Nationen. Wir sind für Sie da - an 22 Standorten deutschlandweit!
  Trauen Sie sich jetzt - wir brauchen Sie!

  Für weitere Fragen und Wünsche steht Ihnen unser Ansprechpartner gerne zur Verfügung.
  Eine Stellenanzeige von Rosinke Berlin GmbH
  __________________________________________________","KONTAKT-INFOS

  Unternehmen",7,Irrelevantes (nicht aus 1-5),false
3060,3187,______________________________,"KONTAKT-INFOS

  Unternehmen Rosinke Berlin GmbH
  Straße      ChausseestraÃŸe 92
  PLZ         10115
  Ort         Berlin",E-Mail      [javascript protec,8,Kontakt und Formalia,false
3191,3256,"   10115
  Ort         Berlin","E-Mail      [javascript protected email address]
  hier bewerben",,9,Irrelevantes (nicht aus 1-5),false
