begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,1448,,"Fakten

  Anzeige endet

  01.11.2016

  Anstellungsart

  Vollzeit

  Dauer

  Art der Bewerbung

  per Email

  Form der Bewerbung

  mit Anschreiben
  mit Lebenslauf

  Kontakt

  1 leer
  An den Treptowers 3
  10249 Berlin

  Einsatzort:

  Berlin

  Bei Rückfragen

  Henrike Wilkes
  Leitung Personalrecruiting
  0162-2791875

  Link zur Homepage

  Visits

  14

  Traineeprogramm zur Ausbildung als Führungskraft

  01.10.2016
  1 leer - Berlin
  Wirtschaftswissenschaften, Geisteswissenschaften, Tourismusmanagement

  Aufgaben

  36-monatiges Ausbildungsprogramm mit Ziel der Übernahme einer Führungsfunktion im Vertrieb der Allianz

  Qualifikation

  Abgeschlossenes Studium und möglichst erste Berufs-/Führungserfahrung, Teamgeist, Zielstrebigkeit, Flexibilität, Engagement

  Benefits

  Ausbildung bei voller Bezahlung zum Versicherungsfachmann/Frau (IHK), im ersten Jahr des Traineeprogramms. Seminare zur Weiterbildung und Führungskräfteentwicklung, betriebliche BU-, Unfall-, Altersvorsorge. 30 Urlaubstage, Weihnachts- und Urlaubsgeld, flexible Arbeitszeiten

  Weitere Angaben

  Sprachkenntnisse: Deutsch - Englisch
  Beginn: 01.01.2017
  Dauer: 3 Jahre
  Vergütung: ca. 40.000
  Anzahl der Plätze: 5

  Angaben zum Unternehmen

  Unternehmensbeschreibung

  Unternehmensgröße
  über 10000 Mitarbeiter

  Branchen
  Kredit- und Versicherungsgewerbe",,0,Stellenanzeige,false
2,43,,"Fakten

  Anzeige endet

  01.11.2016","Anstellungsart

  Vollzeit
",1,Irrelevantes (nicht aus 1-5),false
49,368," Anzeige endet

  01.11.2016","Anstellungsart

  Vollzeit

  Dauer

  Art der Bewerbung

  per Email

  Form der Bewerbung

  mit Anschreiben
  mit Lebenslauf

  Kontakt

  1 leer
  An den Treptowers 3
  10249 Berlin

  Einsatzort:

  Berlin

  Bei Rückfragen

  Henrike Wilkes
  Leitung Personalrecruiting
  0162-2791875","Link zur Homepage

  Visits
",2,Kontakt und Formalia,false
374,573,"onalrecruiting
  0162-2791875","Link zur Homepage

  Visits

  14

  Traineeprogramm zur Ausbildung als Führungskraft

  01.10.2016
  1 leer - Berlin
  Wirtschaftswissenschaften, Geisteswissenschaften, Tourismusmanagement","Aufgaben

  36-monatiges Aus",3,Irrelevantes (nicht aus 1-5),false
579,695,"nschaften, Tourismusmanagement","Aufgaben

  36-monatiges Ausbildungsprogramm mit Ziel der Übernahme einer Führungsfunktion im Vertrieb der Allianz","Qualifikation

  Abgeschloss",4,Aufgabenbeschreibung,false
701,843,nktion im Vertrieb der Allianz,"Qualifikation

  Abgeschlossenes Studium und möglichst erste Berufs-/Führungserfahrung, Teamgeist, Zielstrebigkeit, Flexibilität, Engagement","Benefits

  Ausbildung bei v",5,Anforderungen,false
849,1138,"keit, Flexibilität, Engagement","Benefits

  Ausbildung bei voller Bezahlung zum Versicherungsfachmann/Frau (IHK), im ersten Jahr des Traineeprogramms. Seminare zur Weiterbildung und Führungskräfteentwicklung, betriebliche BU-, Unfall-, Altersvorsorge. 30 Urlaubstage, Weihnachts- und Urlaubsgeld, flexible Arbeitszeiten","Weitere Angaben

  Sprachken",6,Angebot an den Bewerber,false
1144,1201,"bsgeld, flexible Arbeitszeiten","Weitere Angaben

  Sprachkenntnisse: Deutsch - Englisch","Beginn: 01.01.2017
  Dauer: 3",7,Anforderungen,false
1205,1290,kenntnisse: Deutsch - Englisch,"Beginn: 01.01.2017
  Dauer: 3 Jahre
  Vergütung: ca. 40.000
  Anzahl der Plätze: 5","Angaben zum Unternehmen

  U",8,Kontakt und Formalia,false
1296,1448,"40.000
  Anzahl der Plätze: 5","Angaben zum Unternehmen

  Unternehmensbeschreibung

  Unternehmensgröße
  über 10000 Mitarbeiter

  Branchen
  Kredit- und Versicherungsgewerbe",,9,Unternehmensvorstellung,false
