begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,2329,,"Personal Assistant (m/w/d)

  Hays

  Berlin

  2019-10-04

  Personal Assistant (m/w/d) Berlin, Prenzlauer Berg &vert; Festanstellung durch unseren Kunden
  Meine Aufgaben
  * Marktrecherche von Inhalten zu Pharma Themen
  * Unterstützung bei neuen Projekten
  * Übernahme der Kommunikation via E-Mail und Telefon zu Kunden aus dem Pharma Bereich
  * Allgemeine Büroorganisation
  * Verwaltung von Belegen
  * Erstellen von Präsentationen für Pitches

  Meine Qualifikationen
  * Gute kommunikative Fertigkeiten
  * Eine schnelle Auffassungsgabe
  * Die Bereitschaft sich in Pharma Thematiken einzuarbeiten
  * Organisationsgeschick
  * Hohe Eigenverantwortlichkeit
  * Sehr gute Englisch- und Deutschkenntnisse in Wort und Schrift
  * Kenntnisse einer dritten Fremdsprache
  * Eine ausgeprägte Servicementalität

  Meine Vorteile
  * Firmenhandy
  * Firmenlaptop
  * Sehr gute Verkehrsanbindung
  * Ein toller Arbeitsplatz mit nahe gelegenen Cafés, Supermärkten und Geschäften
  * Eine entspannte Bürokultur
  * Ein kleines Team mit flacher Hierarchie
  * Home-Office Möglichkeit
  * Die Möglichkeit mit einem Unternehmen mitzuwachsen

  Mein Arbeitgeber
  Unser Kunde ist ein Start-Up aus dem Bereich Medienproduktion und auf die Branche Gesundheitswesen spezialisiert. Das Unternehmen produziert Imagefilme, Lehrfilme, Schulungsvideos, Produktvideos und Dokumentationen von Strategieprozessen.

  Gehaltsinformationen
  Je nach Qualifikation und Erfahrung ist ein Jahresgehalt von bis zu 40.000 ?, auf Basis einer 40-Stunden Woche möglich.

  Über Hays Echte Finance-Experten sind rar, und sie sind gefragt. Dementsprechend hoch ist Ihr Marktwert. Als Finance-Spezialist stehen Ihnen alle Türen offen, etwa in den Bereichen Accounting, Controlling, Corporate Banking, Interim-Management, Risk-Management oder Treasury. Ganz nach Ihren Interessen und abhängig von Ihrer Erfahrung vermitteln wir Ihnen den passenden Job. Mit uns finden Sie das optimale Umfeld - und das völlig kostenfrei. Registrieren Sie sich und profitieren Sie von interessanten und passenden Positionen und Projekten.
  Mein Kontakt bei Hays

  Mein Ansprechpartner
  Isabelle Fichtner

  Referenznummer
  441127/1

  Kontakt aufnehmen
  Telefon: +49-30-847884 - 294

  Jetzt bewerben Jetzt bewerben",,0,Stellenanzeige,false
2,66,,"Personal Assistant (m/w/d)

  Hays

  Berlin

  2019-10-04",Personal Assistant (m/w/d) Ber,1,Irrelevantes (nicht aus 1-5),false
72,165,"ys

  Berlin

  2019-10-04","Personal Assistant (m/w/d) Berlin, Prenzlauer Berg &vert; Festanstellung durch unseren Kunden","Meine Aufgaben
  * Marktreche",2,Unternehmensvorstellung,false
169,468,nstellung durch unseren Kunden,"Meine Aufgaben
  * Marktrecherche von Inhalten zu Pharma Themen
  * Unterstützung bei neuen Projekten
  * Übernahme der Kommunikation via E-Mail und Telefon zu Kunden aus dem Pharma Bereich
  * Allgemeine Büroorganisation
  * Verwaltung von Belegen
  * Erstellen von Präsentationen für Pitches","Meine Qualifikationen
  * Gut",3,Aufgabenbeschreibung,false
474,840,von Präsentationen für Pitches,"Meine Qualifikationen
  * Gute kommunikative Fertigkeiten
  * Eine schnelle Auffassungsgabe
  * Die Bereitschaft sich in Pharma Thematiken einzuarbeiten
  * Organisationsgeschick
  * Hohe Eigenverantwortlichkeit
  * Sehr gute Englisch- und Deutschkenntnisse in Wort und Schrift
  * Kenntnisse einer dritten Fremdsprache
  * Eine ausgeprägte Servicementalität","Meine Vorteile
  * Firmenhand",4,Anforderungen,false
846,1173, ausgeprägte Servicementalität,"Meine Vorteile
  * Firmenhandy
  * Firmenlaptop
  * Sehr gute Verkehrsanbindung
  * Ein toller Arbeitsplatz mit nahe gelegenen Cafés, Supermärkten und Geschäften
  * Eine entspannte Bürokultur
  * Ein kleines Team mit flacher Hierarchie
  * Home-Office Möglichkeit
  * Die Möglichkeit mit einem Unternehmen mitzuwachsen","Mein Arbeitgeber
  Unser Kund",5,Angebot an den Bewerber,false
1179,1437,einem Unternehmen mitzuwachsen,"Mein Arbeitgeber
  Unser Kunde ist ein Start-Up aus dem Bereich Medienproduktion und auf die Branche Gesundheitswesen spezialisiert. Das Unternehmen produziert Imagefilme, Lehrfilme, Schulungsvideos, Produktvideos und Dokumentationen von Strategieprozessen.","Gehaltsinformationen
  Je nac",6,Unternehmensvorstellung,false
1443,1586,tionen von Strategieprozessen.,"Gehaltsinformationen
  Je nach Qualifikation und Erfahrung ist ein Jahresgehalt von bis zu 40.000 ?, auf Basis einer 40-Stunden Woche möglich.",Über Hays Echte Finance-Expert,7,Angebot an den Bewerber,false
1592,2135,iner 40-Stunden Woche möglich.,"Über Hays Echte Finance-Experten sind rar, und sie sind gefragt. Dementsprechend hoch ist Ihr Marktwert. Als Finance-Spezialist stehen Ihnen alle Türen offen, etwa in den Bereichen Accounting, Controlling, Corporate Banking, Interim-Management, Risk-Management oder Treasury. Ganz nach Ihren Interessen und abhängig von Ihrer Erfahrung vermitteln wir Ihnen den passenden Job. Mit uns finden Sie das optimale Umfeld - und das völlig kostenfrei. Registrieren Sie sich und profitieren Sie von interessanten und passenden Positionen und Projekten.","Mein Kontakt bei Hays

  Mei",8,Unternehmensvorstellung,false
2139,2329,nden Positionen und Projekten.,"Mein Kontakt bei Hays

  Mein Ansprechpartner
  Isabelle Fichtner

  Referenznummer
  441127/1

  Kontakt aufnehmen
  Telefon: +49-30-847884 - 294

  Jetzt bewerben Jetzt bewerben",,9,Kontakt und Formalia,false
