begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,4344,,"Umzugshelfer/in

  Kurzbeschreibung

  Berufsfeld:

  Verkehr / Lager / Logistik
  Beruf:

  Helfer/in - Lagerwirtschaft, Transport
  Abschluss:

  kein Schulabschluss
  Beschäftigungsort:

  Berlin
  Arbeitsbeginn:

  10.10.2016

  ACCURAT :

  * Ausgezeichnet mit dem Focus-Gütesiegel als Top-Personaldienstleister 2014 und 2015
  * BAP Tarifvertrag
  * Zuschläge für Sonntags- und Feiertagsarbeit
  * TÜV zertifiziertes Qualitätsmanagement nach ISO 9001:2008

  Alles anzeigen

  Ihr Einstieg in ein erfolgreiches Unternehmen!

  Die ACCURAT Gesellschaft für Personaldienstleistungen mbH steht seit vielen Jahren für zuverlässige Partnerschaft mit unseren Kunden und Mitarbeitern. Mehr als 4.000 Mitarbeiterinnen und Mitarbeiter unterschiedlichster Qualifikation stehen unseren Kundenunternehmen in nahezu allen Wirtschaftsbereichen täglich zur Verfügung.

  Unser Team ist seit Jahren spezialisiert auf die Vermittlung und Überlassung von Personal an unsere renommierten Kunden.
  Es liegt uns am Herzen genau die Anstellung für Sie zu finden, für die sie brennen und ein Umfeld zu schaffen, in dem Sie sich wohlfühlen!

  Aktuell suchen wir für einen unserer Kunden einen/eine Umzugshelfer/in.

  Ihre Aufgabe

  Ihr Profil:

  * Zuverlässigkeit
  * Belastbarkeit
  * Pünktlichkeit
  * Flexibilität

  Unser Angebot

  Wir bieten Ihnen ein angenehmes Arbeitsumfeld, eine intensive Einarbeitung bei unseren Kunden und eine professionelle Betreuung durch unser Team.
  Desweiteren können wir garantieren:
  * unbefristeter Arbeitsvertrag
  * Übertarifliche Vergütung
  * bis zu 30 Tage Urlaub im Jahr

  Fühlen Sie sich angesprochen und erkennen Ihr Profil? Dann bewerben Sie sich noch heute! Wir freuen uns auf Ihre aussagekräftigen und vollständigen Bewerbungsunterlagen!

  Jetzt bewerben

  ACCURAT Personaldienstleistungen

  Alexanderstr. 9, 10178 Berlin

  Tel. 030 8471268-0, Fax. 030 8471268-29

  Email Berlin-Mitte@accurat.eu

  Jobs für Mitarbeiter und jene, die es werden wollen

  In unserer obigen Jobdatenbank finden Sie alle Qualifikationen, die unsere unterschiedlichen Niederlassungen in Ihrer Nähe aktuell suchen. Sollte Ihr Berufsbild zur Zeit nicht dabei sein, bewerben Sie sich trotzdem gern initiativ bei ACCURAT!
  Sobald Ihre Bewerbung bei uns eingeht, wird diese umgehend geprüft und mit den Anforderungsprofilen unserer Kunden abgeglichen. Sollten wir etwas Passendes für Ihre Qualifikationen finden, melden wir uns umgehend bei Ihnen, um Sie zu einem Termin zu einem kurzen Kennenlernen in unserem Hause einzuladen. Sollten wir uns nicht sofort melden, resignieren Sie bitte nicht! Sie werden trotzdem in unseren Bewerberpool aufgenommen und oft ergibt sich zu einem späteren Zeitpunkt eine Beschäftigungsmöglichkeit, über die wir Sie zu gegebener Zeit selbstverständlich informieren.

  Uns ist es wichtig, all unseren Mitarbeitern ein spannendes und harmonisches Arbeitsumfeld mit vielseitigen Tätigkeitsspektren, leistungsgerechter und attraktiver Bezahlung sowie hoher Beschäftigungszufriedenheit zu bieten. Neben allgemeinen Standards wie der Bezahlung nach Tarif des Bundesarbeitgeberverband der Personaldienstleister e.V. (BAP)*, mindestens 24 Tagen Urlaub (je nach Betriebszugehörigkeit sogar bis zu 30 Tage) und einem unbefristeten Arbeitsvertrag mit ACCURAT, bieten wir Ihnen zudem ein angemessenes Weihnachts- und Urlaubsgeld, Flexibilität durch ein Zeitkonto und die Chance auf Übernahme durch eines unserer Kundenunternehmen. Auch vielfältige Weiterbil­dungsmöglichkeiten sind fester Bestandteil unseres Angebots an Sie.
  Wir liefern Ihnen ständig eine Vielzahl an Berufs- und Karrieremöglichkeiten, interessante und attraktive Arbeitsplätze durch einen wachsenden Kundenstamm, immer ein offenes Ohr und eine kompetente Beratung. Wir sind stets darum bemüht, unsere Mitarbeiter bei der Realisierung ihrer beruflichen Ziele zu unterstützen und ihnen die Möglichkeit zu geben, ihre Karriere nach ihren eigenen Vorstellungen zu gestalten.

  Falls Sie Fragen haben oder weitere Informationen wünschen, so nehmen Sie gern Kontakt mit uns auf!

  Kontakt

  ACCURAT Gesellschaft für Personaldienstleistungen mbH
  Zepernicker Chaussee 7
  16321 Bernau

  Telefon: +49 (0)30 847156 - 0
  Telefax: +49 (0)30 847156 - 79",,0,Stellenanzeige,false
146,249,"n - Lagerwirtschaft, Transport","Abschluss:

  kein Schulabschluss
  Beschäftigungsort:

  Berlin
  Arbeitsbeginn:

  10.10.2016","ACCURAT :

  * Ausgezeichnet",1,Kontakt und Formalia,false
255,488,"Arbeitsbeginn:

  10.10.2016","ACCURAT :

  * Ausgezeichnet mit dem Focus-Gütesiegel als Top-Personaldienstleister 2014 und 2015
  * BAP Tarifvertrag
  * Zuschläge für Sonntags- und Feiertagsarbeit
  * TÜV zertifiziertes Qualitätsmanagement nach ISO 9001:2008","Alles anzeigen

  Ihr Einsti",2,Unternehmensvorstellung,false
494,508,smanagement nach ISO 9001:2008,Alles anzeigen,Ihr Einstieg in ein erfolgreic,3,Irrelevantes (nicht aus 1-5),false
514,1236," 9001:2008

  Alles anzeigen","Ihr Einstieg in ein erfolgreiches Unternehmen!

  Die ACCURAT Gesellschaft für Personaldienstleistungen mbH steht seit vielen Jahren für zuverlässige Partnerschaft mit unseren Kunden und Mitarbeitern. Mehr als 4.000 Mitarbeiterinnen und Mitarbeiter unterschiedlichster Qualifikation stehen unseren Kundenunternehmen in nahezu allen Wirtschaftsbereichen täglich zur Verfügung.

  Unser Team ist seit Jahren spezialisiert auf die Vermittlung und Überlassung von Personal an unsere renommierten Kunden.
  Es liegt uns am Herzen genau die Anstellung für Sie zu finden, für die sie brennen und ein Umfeld zu schaffen, in dem Sie sich wohlfühlen!

  Aktuell suchen wir für einen unserer Kunden einen/eine Umzugshelfer/in.","Ihre Aufgabe

  Ihr Profil:
",4,Unternehmensvorstellung,false
1242,1350,en einen/eine Umzugshelfer/in.,"Ihre Aufgabe

  Ihr Profil:

  * Zuverlässigkeit
  * Belastbarkeit
  * Pünktlichkeit
  * Flexibilität","Unser Angebot

  Wir bieten ",5,Anforderungen,false
1356,1658,"ünktlichkeit
  * Flexibilität","Unser Angebot

  Wir bieten Ihnen ein angenehmes Arbeitsumfeld, eine intensive Einarbeitung bei unseren Kunden und eine professionelle Betreuung durch unser Team.
  Desweiteren können wir garantieren:
  * unbefristeter Arbeitsvertrag
  * Übertarifliche Vergütung
  * bis zu 30 Tage Urlaub im Jahr",Fühlen Sie sich angesprochen u,6,Angebot an den Bewerber,false
1664,2006, bis zu 30 Tage Urlaub im Jahr,"Fühlen Sie sich angesprochen und erkennen Ihr Profil? Dann bewerben Sie sich noch heute! Wir freuen uns auf Ihre aussagekräftigen und vollständigen Bewerbungsunterlagen!

  Jetzt bewerben

  ACCURAT Personaldienstleistungen

  Alexanderstr. 9, 10178 Berlin

  Tel. 030 8471268-0, Fax. 030 8471268-29

  Email Berlin-Mitte@accurat.eu","Jobs für Mitarbeiter und jene,",7,Kontakt und Formalia,false
2012,4056, Email Berlin-Mitte@accurat.eu,"Jobs für Mitarbeiter und jene, die es werden wollen

  In unserer obigen Jobdatenbank finden Sie alle Qualifikationen, die unsere unterschiedlichen Niederlassungen in Ihrer Nähe aktuell suchen. Sollte Ihr Berufsbild zur Zeit nicht dabei sein, bewerben Sie sich trotzdem gern initiativ bei ACCURAT!
  Sobald Ihre Bewerbung bei uns eingeht, wird diese umgehend geprüft und mit den Anforderungsprofilen unserer Kunden abgeglichen. Sollten wir etwas Passendes für Ihre Qualifikationen finden, melden wir uns umgehend bei Ihnen, um Sie zu einem Termin zu einem kurzen Kennenlernen in unserem Hause einzuladen. Sollten wir uns nicht sofort melden, resignieren Sie bitte nicht! Sie werden trotzdem in unseren Bewerberpool aufgenommen und oft ergibt sich zu einem späteren Zeitpunkt eine Beschäftigungsmöglichkeit, über die wir Sie zu gegebener Zeit selbstverständlich informieren.

  Uns ist es wichtig, all unseren Mitarbeitern ein spannendes und harmonisches Arbeitsumfeld mit vielseitigen Tätigkeitsspektren, leistungsgerechter und attraktiver Bezahlung sowie hoher Beschäftigungszufriedenheit zu bieten. Neben allgemeinen Standards wie der Bezahlung nach Tarif des Bundesarbeitgeberverband der Personaldienstleister e.V. (BAP)*, mindestens 24 Tagen Urlaub (je nach Betriebszugehörigkeit sogar bis zu 30 Tage) und einem unbefristeten Arbeitsvertrag mit ACCURAT, bieten wir Ihnen zudem ein angemessenes Weihnachts- und Urlaubsgeld, Flexibilität durch ein Zeitkonto und die Chance auf Übernahme durch eines unserer Kundenunternehmen. Auch vielfältige Weiterbil­dungsmöglichkeiten sind fester Bestandteil unseres Angebots an Sie.
  Wir liefern Ihnen ständig eine Vielzahl an Berufs- und Karrieremöglichkeiten, interessante und attraktive Arbeitsplätze durch einen wachsenden Kundenstamm, immer ein offenes Ohr und eine kompetente Beratung. Wir sind stets darum bemüht, unsere Mitarbeiter bei der Realisierung ihrer beruflichen Ziele zu unterstützen und ihnen die Möglichkeit zu geben, ihre Karriere nach ihren eigenen Vorstellungen zu gestalten.",Falls Sie Fragen haben oder we,8,Irrelevantes (nicht aus 1-5),false
4062,4344,en Vorstellungen zu gestalten.,"Falls Sie Fragen haben oder weitere Informationen wünschen, so nehmen Sie gern Kontakt mit uns auf!

  Kontakt

  ACCURAT Gesellschaft für Personaldienstleistungen mbH
  Zepernicker Chaussee 7
  16321 Bernau

  Telefon: +49 (0)30 847156 - 0
  Telefax: +49 (0)30 847156 - 79",,9,Kontakt und Formalia,false
