begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3406,,"Suche nach Keyworten
  *

  Berlin

  E-Mail: [javascript protected email address]
  hier bewerben

  Rosinke Berlin GmbH

  * Berlin
  * Post Datum: 29.02.2020

  * [javascript protected email address]

  Tischler (m/w/d) fÃ¼r Stadler Pankow

  Das sind Ihre Aufgaben:
  * Selbstständige Ausführung komplizierter Montagearbeiten nach technischen Angaben und Zeichnungen
  * Komplettieren, Befestigen und Anpassen von kompletten Baugruppen
  * Qualitäts- und Materialprüfung

  Das bringen Sie mit:
  * Abgeschlossene Berufsausbildung als Tischler (m/w/d), Holzmechaniker (m/w/d), Schlosser (m/w/d) oder eine ähnliche Qualifikation ist zwingend erforderlich
  * Für Sie ist die Arbeit im 2-Schicht-System kein Problem
  * Sorgfältige und zuverlässige Arbeitsweise

  Das bieten wir Ihnen:
  * Attraktive Entlohnung nach BAP-Tarif mit Zulagen
  * Einen unbefristeten Arbeitsvertrag
  * Weihnachts- und Urlaubsgeld
  * Betriebliche Altersvorsorge
  * Zusätzliche Sozialleistungen (z.B. Zahnzusatzversicherung)
  * Einen persönlichen Personalberater zur individuellen Betreuung und Beratung
  * Die Möglichkeit der Direktvermittlung in ein Unternehmen
  * Rahmenbedingungen, die Ihren Bedürfnissen angepasst sind, auch wenn sich Ihre Situation verändert

  Zusätzliche Goodies:
  * Vergünstigte BVG Fahrkarte (Firmenticket)
  * Mitarbeiterangebote für über 600 Marken (u.a. adidas, Apple, Samsung, Body Shop und mehr)
  * Prämien für das Werben neuer Mitarbeiter
  * Die Möglichkeit Ihre berufliche Karriere selbst und individuell zu gestalten

  Haben wir Ihr Interesse geweckt?

  Sie können über den untenstehenden Button Ihre Bewerbung direkt an uns absenden.

  Ebenfalls freuen wir uns auf Ihre Unterlagen per Post oder E-Mail an job@rosinke-berlin.de

  Besuchen Sie uns auf:

  Für weitere Informationen zur Stelle steht Ihnen Herr Daniel Burau gerne zur Verfügung.

  Telefon: 030 755 16 80 0
  Fax: 030 755 16 80 19

  Hinweis: Alle Stellenausschreibungen richten sich stets an Bewerber (m/w/d), unabhängig von Alter, Geschlecht, ethnischer Zugehörigkeit, sexueller Orientierung, Behinderung, Religion und Weltanschauung etc. Die Bewerberauswahl erfolgt ausschließlich qualifikationsorientiert. Bitte beachten Sie, dass wir postalische Bewerbungen nur zurücksenden können, wenn Ihren Unterlagen ein frankierter Rückumschlag beiliegt.

  Die aktuellen Hinweise zum Datenschutz finden Sie hier: Hinweise zum Datenschutz in neuem Fenster öffnen »

  Sie sind begehrt! Ihr Fachwissen lässt Ihnen die Wahl, wem Sie es zur Verfügung stellen. Doch, warum allein auf die Suche gehen?
  Sichern Sie sich die Kompetenz, die Erfahrung und das Verhandlungsgeschick eines etablierten Personaldienstleisters, um den optimalen Arbeitsplatz für Sie zu finden.

  Damit sind wir - die Rosinke GmbH - seit 1998 erfolgreich. Uns vertrauen über 1.500 Mitarbeiter aus den unterschiedlichsten Fachgebieten. Wir sind für Sie da - an 22 Standorten deutschlandweit.

  Für weitere Fragen und Wünsche steht Ihnen unser Ansprechpartner gerne zur Verfügung.
  Eine Stellenanzeige von Rosinke Berlin GmbH
  __________________________________________________

  KONTAKT-INFOS

  Unternehmen Rosinke Berlin GmbH
  Straße      ChausseestraÃŸe 92
  PLZ         10115
  Ort         Berlin
  E-Mail      [javascript protected email address]
  hier bewerben",,0,Stellenanzeige,false
2,217,,"Suche nach Keyworten
  *

  Berlin

  E-Mail: [javascript protected email address]
  hier bewerben

  Rosinke Berlin GmbH

  * Berlin
  * Post Datum: 29.02.2020

  * [javascript protected email address]",Tischler (m/w/d) fÃ¼r Stadler ,1,Irrelevantes (nicht aus 1-5),false
223,496,cript protected email address],"Tischler (m/w/d) fÃ¼r Stadler Pankow

  Das sind Ihre Aufgaben:
  * Selbstständige Ausführung komplizierter Montagearbeiten nach technischen Angaben und Zeichnungen
  * Komplettieren, Befestigen und Anpassen von kompletten Baugruppen
  * Qualitäts- und Materialprüfung","Das bringen Sie mit:
  * Abge",2,Aufgabenbeschreibung,false
502,790,Qualitäts- und Materialprüfung,"Das bringen Sie mit:
  * Abgeschlossene Berufsausbildung als Tischler (m/w/d), Holzmechaniker (m/w/d), Schlosser (m/w/d) oder eine ähnliche Qualifikation ist zwingend erforderlich
  * Für Sie ist die Arbeit im 2-Schicht-System kein Problem
  * Sorgfältige und zuverlässige Arbeitsweise","Das bieten wir Ihnen:
  * Att",3,Anforderungen,false
796,1287, und zuverlässige Arbeitsweise,"Das bieten wir Ihnen:
  * Attraktive Entlohnung nach BAP-Tarif mit Zulagen
  * Einen unbefristeten Arbeitsvertrag
  * Weihnachts- und Urlaubsgeld
  * Betriebliche Altersvorsorge
  * Zusätzliche Sozialleistungen (z.B. Zahnzusatzversicherung)
  * Einen persönlichen Personalberater zur individuellen Betreuung und Beratung
  * Die Möglichkeit der Direktvermittlung in ein Unternehmen
  * Rahmenbedingungen, die Ihren Bedürfnissen angepasst sind, auch wenn sich Ihre Situation verändert","Zusätzliche Goodies:
  * Verg",4,Angebot an den Bewerber,false
1293,1583, sich Ihre Situation verändert,"Zusätzliche Goodies:
  * Vergünstigte BVG Fahrkarte (Firmenticket)
  * Mitarbeiterangebote für über 600 Marken (u.a. adidas, Apple, Samsung, Body Shop und mehr)
  * Prämien für das Werben neuer Mitarbeiter
  * Die Möglichkeit Ihre berufliche Karriere selbst und individuell zu gestalten",Haben wir Ihr Interesse geweck,5,Angebot an den Bewerber,false
1589,1978,t und individuell zu gestalten,"Haben wir Ihr Interesse geweckt?

  Sie können über den untenstehenden Button Ihre Bewerbung direkt an uns absenden.

  Ebenfalls freuen wir uns auf Ihre Unterlagen per Post oder E-Mail an job@rosinke-berlin.de

  Besuchen Sie uns auf:

  Für weitere Informationen zur Stelle steht Ihnen Herr Daniel Burau gerne zur Verfügung.

  Telefon: 030 755 16 80 0
  Fax: 030 755 16 80 19",Hinweis: Alle Stellenausschrei,6,Kontakt und Formalia,false
1984,3204," 80 0
  Fax: 030 755 16 80 19","Hinweis: Alle Stellenausschreibungen richten sich stets an Bewerber (m/w/d), unabhängig von Alter, Geschlecht, ethnischer Zugehörigkeit, sexueller Orientierung, Behinderung, Religion und Weltanschauung etc. Die Bewerberauswahl erfolgt ausschließlich qualifikationsorientiert. Bitte beachten Sie, dass wir postalische Bewerbungen nur zurücksenden können, wenn Ihren Unterlagen ein frankierter Rückumschlag beiliegt.

  Die aktuellen Hinweise zum Datenschutz finden Sie hier: Hinweise zum Datenschutz in neuem Fenster öffnen »

  Sie sind begehrt! Ihr Fachwissen lässt Ihnen die Wahl, wem Sie es zur Verfügung stellen. Doch, warum allein auf die Suche gehen?
  Sichern Sie sich die Kompetenz, die Erfahrung und das Verhandlungsgeschick eines etablierten Personaldienstleisters, um den optimalen Arbeitsplatz für Sie zu finden.

  Damit sind wir - die Rosinke GmbH - seit 1998 erfolgreich. Uns vertrauen über 1.500 Mitarbeiter aus den unterschiedlichsten Fachgebieten. Wir sind für Sie da - an 22 Standorten deutschlandweit.

  Für weitere Fragen und Wünsche steht Ihnen unser Ansprechpartner gerne zur Verfügung.
  Eine Stellenanzeige von Rosinke Berlin GmbH
  __________________________________________________","KONTAKT-INFOS

  Unternehmen",7,Irrelevantes (nicht aus 1-5),false
3210,3337,______________________________,"KONTAKT-INFOS

  Unternehmen Rosinke Berlin GmbH
  Straße      ChausseestraÃŸe 92
  PLZ         10115
  Ort         Berlin",E-Mail      [javascript protec,8,Kontakt und Formalia,false
3341,3406,"   10115
  Ort         Berlin","E-Mail      [javascript protected email address]
  hier bewerben",,9,Irrelevantes (nicht aus 1-5),false
