begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,2030,,"Web-Travel-Agents (m/w) für Onlineportal (Reiseverkehrskaufmann/-frau)

  Per Zukunft GmbH & Co. KG Berlin

  * Eingestellt am 01.04.2017
  * Beschäftigungsart: Vollzeit
  * Karrierestufe: Mit Berufserfahrung
  * Branche: Banken und Finanzdienstleistungen

  Web-Travel-Agents (m/w) für Onlineportal * (Reiseverkehrskaufmann/-frau)

  Für ein führendes Online-Reiseportal suchen wir zum schnellstmöglichen Zeitpunkt mehrere Travel-Stimmen (m/w). Die Stellen sind in Vollzeit zu besetzen.

  ** Ihr neuer Job **

  * Erster Ansprechpartner (m/w) für Buchungen und Stornierungen

  * Telefonischer Kundenservice rund um den Online-Portal

  * Eingehende Gespräche abarbeiten

  * Up- und Cross-Selling

  * Anfragen der Kunden erfassen

  ** Skills **

  * Ausbildung als Reiseverkehrskauffrau/-mann, Tourismuskauffrau/-mann oder ähnl. Ausbildung im Bereich Reiseverkehr oder Erfahrung als Call Center Agent im Bereich Reiseverkehr

  * Verhandlungssichere Deutsch- sowie gute Englischkenntnisse

  * Fundierte Kenntnisse in MS-Office

  * Bereitschaft zur Schichtarbeit

  Falls wir Ihr Interesse geweckt haben und Sie sich in diesem Anforderungsprofil erkennen, dann freuen wir uns über Ihre aussagekräftigen Bewerbungsunterlagen.

  Die PerZukunft Arbeitsvermittlung Gmbh & Co. KG ist ein von der DEKRA Certification GmbH geprüfter und zugelassener Träger nach AZAV mit der Zertifikats Registrier-Nr.: 31T1112195.

  Bewerben Sie sich am besten noch heute telefonisch unter 030 63 22 50 80.

  Bitte beachten Sie, dass die Bewerbungsunterlagen nur zurück gesandt werden, wenn ein

  entsprechend ausreichend frankierter Rückumschlag beigefügt wird.

  Des Weiteren beachten Sie bitte, dass im Falle eines Vorstellungsgespräches Fahrtkosten nicht übernommen werden.

  Bitte beachten Sie die folgenden Anforderungen:

  - Kompetenzen:

  Kundenberatung, -betreuung: Grundkenntnisse

  Pauschalreisen: Grundkenntnisse

  Reservierung, Buchung (Reiseverkehr): Grundkenntnisse",,0,Stellenanzeige,false
2,143,,"Web-Travel-Agents (m/w) für Onlineportal (Reiseverkehrskaufmann/-frau)

  Per Zukunft GmbH & Co. KG Berlin

  * Eingestellt am 01.04.2017","* Beschäftigungsart: Vollzeit
",1,Irrelevantes (nicht aus 1-5),false
147,264,"
  * Eingestellt am 01.04.2017","* Beschäftigungsart: Vollzeit
  * Karrierestufe: Mit Berufserfahrung
  * Branche: Banken und Finanzdienstleistungen",Web-Travel-Agents (m/w) für On,2,Kontakt und Formalia,false
270,500,ken und Finanzdienstleistungen,"Web-Travel-Agents (m/w) für Onlineportal * (Reiseverkehrskaufmann/-frau)

  Für ein führendes Online-Reiseportal suchen wir zum schnellstmöglichen Zeitpunkt mehrere Travel-Stimmen (m/w). Die Stellen sind in Vollzeit zu besetzen.","** Ihr neuer Job **

  * Ers",3,Unternehmensvorstellung,false
506,758, sind in Vollzeit zu besetzen.,"** Ihr neuer Job **

  * Erster Ansprechpartner (m/w) für Buchungen und Stornierungen

  * Telefonischer Kundenservice rund um den Online-Portal

  * Eingehende Gespräche abarbeiten

  * Up- und Cross-Selling

  * Anfragen der Kunden erfassen","** Skills **

  * Ausbildung",4,Aufgabenbeschreibung,false
764,1103,* Anfragen der Kunden erfassen,"** Skills **

  * Ausbildung als Reiseverkehrskauffrau/-mann, Tourismuskauffrau/-mann oder ähnl. Ausbildung im Bereich Reiseverkehr oder Erfahrung als Call Center Agent im Bereich Reiseverkehr

  * Verhandlungssichere Deutsch- sowie gute Englischkenntnisse

  * Fundierte Kenntnisse in MS-Office

  * Bereitschaft zur Schichtarbeit",Falls wir Ihr Interesse geweck,5,Anforderungen,false
1109,1267,Bereitschaft zur Schichtarbeit,"Falls wir Ihr Interesse geweckt haben und Sie sich in diesem Anforderungsprofil erkennen, dann freuen wir uns über Ihre aussagekräftigen Bewerbungsunterlagen.",Die PerZukunft Arbeitsvermittl,6,Irrelevantes (nicht aus 1-5),false
1273,1453,räftigen Bewerbungsunterlagen.,Die PerZukunft Arbeitsvermittlung Gmbh & Co. KG ist ein von der DEKRA Certification GmbH geprüfter und zugelassener Träger nach AZAV mit der Zertifikats Registrier-Nr.: 31T1112195.,Bewerben Sie sich am besten no,7,Unternehmensvorstellung,false
1459,1865,ts Registrier-Nr.: 31T1112195.,"Bewerben Sie sich am besten noch heute telefonisch unter 030 63 22 50 80.

  Bitte beachten Sie, dass die Bewerbungsunterlagen nur zurück gesandt werden, wenn ein

  entsprechend ausreichend frankierter Rückumschlag beigefügt wird.

  Des Weiteren beachten Sie bitte, dass im Falle eines Vorstellungsgespräches Fahrtkosten nicht übernommen werden.

  Bitte beachten Sie die folgenden Anforderungen:","- Kompetenzen:

  Kundenbera",8,Kontakt und Formalia,false
1871,2030,e die folgenden Anforderungen:,"- Kompetenzen:

  Kundenberatung, -betreuung: Grundkenntnisse

  Pauschalreisen: Grundkenntnisse

  Reservierung, Buchung (Reiseverkehr): Grundkenntnisse",,9,Anforderungen,false
