begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,4220,,"Werkstudent CRM - Newsletter (m/w)

  Arbeitsort: D-10119 Berlin · Berlin
  Ortsteil: Mitte

  Anbieter:
  Nero Commerce UG- ...gourmesso.de

  Arbeitsverhältnis:
  Nebenjob

  Arbeitszeit:
  Teilzeit

  Vergütung:
  monatliches Festgehalt

  Anzeige vom:
  01.08.2016 (heute 5 Minuten)

  Anbieter-Info:
  ungeprüftes Gigajob-Mitglied
  Arbeitgeber
  22 Stellenangebote
  *
  * Auf Merkliste
  * Drucken
  * Weiterempfehlen

  Anbieter
  Arbeitgeber:
  Nero Commerce UG- ...gourmesso.de
  Unternehmensbeschreibung
  Über Uns
  Gourmesso ist die führende Online Brand für Nespresso®-kompatible Kaffeekapseln. Unsere Qualitätsmarke ist bereits in über 20 Ländern weltweit erhältlich und momentan entwickeln wir weitere Lifestyle Marken im Fast Moving Consumer Goods Bereich. Daran arbeiten unsere Teams in den Bereichen Online-, Brand und Social Media Marketing sowie PR und Sales täglich mit viel Know-How, Kreativität und Leidenschaft. Um unsere bereits führende Marktposition in unseren Kernmärkten (DE, FR, USA) weiter auszubauen, suchen wir hoch motivierte und exzellent ausgebildete Teamplayer, die unser junges und internationales Team ergänzen. Werde Teil von uns und bewirb dich noch heute!
  Anzahl der Mitarbeiter
  11 - 100 Vollzeit-Mitarbeiter sind im Unternehmen beschäftigt
  Stellenbeschreibung
  Stellenbezeichnung
  Werkstudent CRM - Newsletter (m/w)
  Jobbeschreibung
  Über Uns
  Gourmesso ist die führende Online Brand für Nespresso®-kompatible Kaffeekapseln. Unsere Qualitätsmarke ist bereits in über 20 Ländern weltweit erhältlich und wird in wenigen Jahren aufgrund unserer qualitativ hochwertigen Sorten- und Produktvielfalt global an die Spitze vorrücken. Daran arbeiten unsere Teams aus Spezialisten für Online-, Brand und Social Media Marketing sowie aus PR und Sales täglich mit viel Know-How, Kreativität und Leidenschaft. Um unsere bereits führende Marktposition in unseren Kernmärkten weiter auszubauen und dabei überdurchschnittlich schnell wachsen zu können, suchen wir hoch motivierte und exzellent ausgebildete Spitzenkräfte. Wenn Du zu den Besten Deines Feldes gehörst, ein begeisterter Teamplayer bist und eigenverantwortliches Arbeiten zu Deinen Stärken zählst, bist Du bei uns genau richtig!
  Deine Aufgaben
  Durchführung und Optimierung unserer gegenwärtigen E-Mail Marketingmaßnahmen (Newsletter, Empfehlungsschreiben, Produktupdates)
  Unterstützung beim Ausbau unserer CRM Maßnahmen für eine langfristige Kundenbindung
  Erstellung von Analysen und Reports
  Recherche und Wettbewerbsanalyse
  Regelmäßige Durchführung von Umfragen und Marktforschungsprojekten
  Wir wünschen uns von dir
  Freude am kreativen, aber dennoch zielgruppen-spezifischen Schreiben
  Starke Affinität zu Zahlen und Analysen
  Laufendes Studium mit überdurchschnittlichen Ergebnissen
  Eine sehr hohe Eigenmotivation und Leistungsbereitschaft
  Idealerweise grundlegende HTML Kenntnisse
  Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift
  Wir bieten
  Eine abwechslungsreiche und verantwortungsvolle Tätigkeit
  Eine attraktive & marktübliche Vergütung
  Ein hervorragendes Arbeitsklima, flache Hierarchien und kurze Entscheidungswege
  Und zusätzlich eine gratis Nespresso®-Maschine für zu Hause und die /Ausbildung zum Coffe-Junkie/

  Idealerweise suchst du nach einem regelmäßigen, langfristigen Job mit einem Zeitaufwand von max. 15-20h/Woche neben dem Studium, der Ausbildung, o.ä. Bitte sende uns bei Interesse deine vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Zeugnisse) in einer PDF-Datei mit dem Stichwort /Werkstudent CRM - Newsletter(m/w) /.
  Arbeitsverhältnis
  Nebenjob
  Befristung
  Das Beschäftigungsverhältnis endet nach 1 Jahr
  Arbeitszeit
  Teilzeit
  Vergütungsart
  monatliches Festgehalt
  Voraussetzungen für Bewerber
  Erforderlicher Bildungsabschluss
  mindestens Abitur
  Erwartete Berufserfahrung
  Keine Erfahrung erforderlich
  Erforderliche Sprachkenntnisse
  Deutsch (fließend/verhandlungssicher)
  Englisch (fließend/verhandlungssicher)
  Arbeitsort
  Ort
  Berlin
  Ortsteil
  Mitte
  PLZ
  D-10119
  Bundesland
  Berlin
  Land
  Deutschland","[INS: :INS]
  Statistik für d",0,Stellenanzeige,false
42,256,student CRM - Newsletter (m/w),"Arbeitsort: D-10119 Berlin · Berlin
  Ortsteil: Mitte

  Anbieter:
  Nero Commerce UG- ...gourmesso.de

  Arbeitsverhältnis:
  Nebenjob

  Arbeitszeit:
  Teilzeit

  Vergütung:
  monatliches Festgehalt","Anzeige vom:
  01.08.2016 (he",1,"Arbeitsort: D-10119 Berlin · Berlin
  Ortsteil: Mitte

  Anbieter:
  Nero Commerce UG- ...gourmesso.de

  Arbeitsverhältnis:
  Nebenjob

  Arbeitszeit:
  Teilzeit

  Vergütung:
  monatliches Festgehalt",false
262,453,"ung:
  monatliches Festgehalt","Anzeige vom:
  01.08.2016 (heute 5 Minuten)

  Anbieter-Info:
  ungeprüftes Gigajob-Mitglied
  Arbeitgeber
  22 Stellenangebote
  *
  * Auf Merkliste
  * Drucken
  * Weiterempfehlen","Anbieter
  Arbeitgeber:
  Ne",2,Irrelevantes (nicht aus 1-5),false
459,1234,"* Drucken
  * Weiterempfehlen","Anbieter
  Arbeitgeber:
  Nero Commerce UG- ...gourmesso.de
  Unternehmensbeschreibung
  Über Uns
  Gourmesso ist die führende Online Brand für Nespresso®-kompatible Kaffeekapseln. Unsere Qualitätsmarke ist bereits in über 20 Ländern weltweit erhältlich und momentan entwickeln wir weitere Lifestyle Marken im Fast Moving Consumer Goods Bereich. Daran arbeiten unsere Teams in den Bereichen Online-, Brand und Social Media Marketing sowie PR und Sales täglich mit viel Know-How, Kreativität und Leidenschaft. Um unsere bereits führende Marktposition in unseren Kernmärkten (DE, FR, USA) weiter auszubauen, suchen wir hoch motivierte und exzellent ausgebildete Teamplayer, die unser junges und internationales Team ergänzen. Werde Teil von uns und bewirb dich noch heute!","Anzahl der Mitarbeiter
  11 -",3,Unternehmensvorstellung,false
1238,1325,ns und bewirb dich noch heute!,"Anzahl der Mitarbeiter
  11 - 100 Vollzeit-Mitarbeiter sind im Unternehmen beschäftigt","Stellenbeschreibung
  Stellen",4,Unternehmensvorstellung,false
1431,2274,"etter (m/w)
  Jobbeschreibung","Über Uns
  Gourmesso ist die führende Online Brand für Nespresso®-kompatible Kaffeekapseln. Unsere Qualitätsmarke ist bereits in über 20 Ländern weltweit erhältlich und wird in wenigen Jahren aufgrund unserer qualitativ hochwertigen Sorten- und Produktvielfalt global an die Spitze vorrücken. Daran arbeiten unsere Teams aus Spezialisten für Online-, Brand und Social Media Marketing sowie aus PR und Sales täglich mit viel Know-How, Kreativität und Leidenschaft. Um unsere bereits führende Marktposition in unseren Kernmärkten weiter auszubauen und dabei überdurchschnittlich schnell wachsen zu können, suchen wir hoch motivierte und exzellent ausgebildete Spitzenkräfte. Wenn Du zu den Besten Deines Feldes gehörst, ein begeisterter Teamplayer bist und eigenverantwortliches Arbeiten zu Deinen Stärken zählst, bist Du bei uns genau richtig!","Deine Aufgaben
  Durchführung",5,Kombination aus 1 und 2,false
2278,2655,bist Du bei uns genau richtig!,"Deine Aufgaben
  Durchführung und Optimierung unserer gegenwärtigen E-Mail Marketingmaßnahmen (Newsletter, Empfehlungsschreiben, Produktupdates)
  Unterstützung beim Ausbau unserer CRM Maßnahmen für eine langfristige Kundenbindung
  Erstellung von Analysen und Reports
  Recherche und Wettbewerbsanalyse
  Regelmäßige Durchführung von Umfragen und Marktforschungsprojekten","Wir wünschen uns von dir
  Fr",6,Aufgabenbeschreibung,false
2659,3028,n und Marktforschungsprojekten,"Wir wünschen uns von dir
  Freude am kreativen, aber dennoch zielgruppen-spezifischen Schreiben
  Starke Affinität zu Zahlen und Analysen
  Laufendes Studium mit überdurchschnittlichen Ergebnissen
  Eine sehr hohe Eigenmotivation und Leistungsbereitschaft
  Idealerweise grundlegende HTML Kenntnisse
  Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift","Wir bieten
  Eine abwechslung",7,Anforderungen,false
3032,3331,kenntnisse in Wort und Schrift,"Wir bieten
  Eine abwechslungsreiche und verantwortungsvolle Tätigkeit
  Eine attraktive & marktübliche Vergütung
  Ein hervorragendes Arbeitsklima, flache Hierarchien und kurze Entscheidungswege
  Und zusätzlich eine gratis Nespresso®-Maschine für zu Hause und die /Ausbildung zum Coffe-Junkie/",Idealerweise suchst du nach ei,8,Angebot an den Bewerber,false
3337,4220, /Ausbildung zum Coffe-Junkie/,"Idealerweise suchst du nach einem regelmäßigen, langfristigen Job mit einem Zeitaufwand von max. 15-20h/Woche neben dem Studium, der Ausbildung, o.ä. Bitte sende uns bei Interesse deine vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Zeugnisse) in einer PDF-Datei mit dem Stichwort /Werkstudent CRM - Newsletter(m/w) /.
  Arbeitsverhältnis
  Nebenjob
  Befristung
  Das Beschäftigungsverhältnis endet nach 1 Jahr
  Arbeitszeit
  Teilzeit
  Vergütungsart
  monatliches Festgehalt
  Voraussetzungen für Bewerber
  Erforderlicher Bildungsabschluss
  mindestens Abitur
  Erwartete Berufserfahrung
  Keine Erfahrung erforderlich
  Erforderliche Sprachkenntnisse
  Deutsch (fließend/verhandlungssicher)
  Englisch (fließend/verhandlungssicher)
  Arbeitsort
  Ort
  Berlin
  Ortsteil
  Mitte
  PLZ
  D-10119
  Bundesland
  Berlin
  Land
  Deutschland","[INS: :INS]
  Statistik für d",9,Kontakt und Formalia,false
